fps_id,fps_name,owner_id,district,taluk,latitude,longitude,capacity_kg,warehouse_id,status,opening_hours,created_at
FPS-0001,Jan Seva Fair Price Shop 001,OFF-06001,BENGALURU_URBAN,BEN-Taluk-3,13.324897,77.887401,918,WH-001,ACTIVE,09:00-18:00,2024-08-20
FPS-0002,Laxmi Fair Price Shop 002,OFF-06002,MYSURU,MYS-Taluk-4,12.130101,76.464161,3500,WH-002,ACTIVE,09:00-18:00,2023-07-07
FPS-0003,Samridhi Fair Price Shop 003,OFF-06003,TUMAKURU,TUM-Taluk-1,13.395854,76.927554,3000,WH-003,ACTIVE,09:00-18:00,2024-06-27
FPS-0004,Vikas Fair Price Shop 004,OFF-06004,MANDYA,MAN-Taluk-4,12.423851,76.793313,3000,WH-004,SUSPENDED,09:00-18:00,2023-02-16
FPS-0005,Ujala Fair Price Shop 005,OFF-06005,HASSAN,HAS-Taluk-2,13.237108,76.220089,3500,WH-005,ACTIVE,09:00-18:00,2024-03-30
FPS-0006,Bharat Fair Price Shop 006,OFF-06006,SHIVAMOGGA,SHI-Taluk-4,13.862575,75.561869,2000,WH-006,ACTIVE,09:00-18:00,2024-09-22
FPS-0007,Surya Fair Price Shop 007,OFF-06007,BENGALURU_URBAN,BEN-Taluk-3,12.690828,77.559077,2500,WH-007,ACTIVE,09:00-18:00,2024-02-25
FPS-0008,Grama Fair Price Shop 008,OFF-06008,MYSURU,MYS-Taluk-1,12.528687,76.325398,2000,WH-008,ACTIVE,09:00-18:00,2023-11-23
FPS-0009,Santosh Fair Price Shop 009,OFF-06009,TUMAKURU,TUM-Taluk-1,13.39894,77.095383,2000,WH-009,ACTIVE,09:00-18:00,2023-05-10
FPS-0010,Ganga Fair Price Shop 010,OFF-06010,MANDYA,MAN-Taluk-2,12.882361,76.981326,2500,WH-010,ACTIVE,09:00-18:00,2024-02-01
FPS-0011,Grama Fair Price Shop 011,OFF-06011,HASSAN,HAS-Taluk-2,12.869214,76.296243,2500,WH-011,ACTIVE,09:00-18:00,2023-12-20
FPS-0012,Samridhi Fair Price Shop 012,OFF-06012,SHIVAMOGGA,SHI-Taluk-4,13.786001,75.670479,3000,WH-012,ACTIVE,09:00-18:00,2024-01-28
FPS-0013,Jai Karnataka Fair Price Shop 013,OFF-06013,BENGALURU_URBAN,BEN-Taluk-2,12.893299,77.496665,2000,WH-013,ACTIVE,09:00-18:00,2023-07-07
FPS-0014,Namma Fair Price Shop 014,OFF-06014,MYSURU,MYS-Taluk-1,12.356649,76.736884,2000,WH-014,ACTIVE,09:00-18:00,2023-12-23
FPS-0015,Bharat Fair Price Shop 015,OFF-06015,TUMAKURU,TUM-Taluk-3,13.608955,76.816619,2500,WH-015,ACTIVE,09:00-18:00,2024-04-09
FPS-0016,Surya Fair Price Shop 016,OFF-06016,MANDYA,MAN-Taluk-3,12.450702,76.634937,3000,WH-016,ACTIVE,09:00-18:00,2023-07-31
FPS-0017,Bharat Fair Price Shop 017,OFF-06017,HASSAN,HAS-Taluk-4,13.254894,75.66061,2000,WH-017,SUSPENDED,09:00-18:00,2024-05-11
FPS-0018,Grama Fair Price Shop 018,OFF-06018,SHIVAMOGGA,SHI-Taluk-3,13.490515,75.662928,1500,WH-018,ACTIVE,09:00-18:00,2023-07-16
FPS-0019,Anna Fair Price Shop 019,OFF-06019,BENGALURU_URBAN,BEN-Taluk-3,12.853278,77.763,3500,WH-019,ACTIVE,09:00-18:00,2024-03-28
FPS-0020,Samridhi Fair Price Shop 020,OFF-06020,MYSURU,MYS-Taluk-3,12.33417,76.401894,2500,WH-020,SUSPENDED,09:00-18:00,2024-10-19
FPS-0021,Vikas Fair Price Shop 021,OFF-06021,TUMAKURU,TUM-Taluk-1,13.702627,76.909885,1500,WH-021,ACTIVE,09:00-18:00,2024-11-23
FPS-0022,Bharat Fair Price Shop 022,OFF-06022,MANDYA,MAN-Taluk-1,12.380402,76.660675,2500,WH-022,ACTIVE,09:00-18:00,2024-07-15
FPS-0023,Kaveri Fair Price Shop 023,OFF-06023,HASSAN,HAS-Taluk-2,12.727105,76.17995,2000,WH-023,ACTIVE,09:00-18:00,2023-10-02
FPS-0024,Surya Fair Price Shop 024,OFF-06024,SHIVAMOGGA,SHI-Taluk-1,13.710228,75.811105,2000,WH-024,SUSPENDED,09:00-18:00,2023-10-31
FPS-0025,Sahyadri Fair Price Shop 025,OFF-06025,BENGALURU_URBAN,BEN-Taluk-4,13.01763,77.719348,2500,WH-025,ACTIVE,09:00-18:00,2023-01-01
FPS-0026,Namma Fair Price Shop 026,OFF-06026,BENGALURU_URBAN,BEN-Taluk-1,13.227358,77.885902,1200,WH-001,SUSPENDED,09:00-18:00,2023-03-04
FPS-0027,Anna Fair Price Shop 027,OFF-06027,MYSURU,MYS-Taluk-4,12.203743,76.742832,1200,WH-002,ACTIVE,09:00-18:00,2023-10-05
FPS-0028,Tunga Fair Price Shop 028,OFF-06028,TUMAKURU,TUM-Taluk-4,13.168105,77.072903,2500,WH-003,ACTIVE,09:00-18:00,2024-10-04
FPS-0029,Santosh Fair Price Shop 029,OFF-06029,MANDYA,MAN-Taluk-2,12.580035,76.886493,2000,WH-004,SUSPENDED,09:00-18:00,2024-11-09
FPS-0030,Santosh Fair Price Shop 030,OFF-06030,HASSAN,HAS-Taluk-3,13.222006,76.069235,3500,WH-005,SUSPENDED,09:00-18:00,2024-03-14
FPS-0031,Kaveri Fair Price Shop 031,OFF-06031,SHIVAMOGGA,SHI-Taluk-1,14.003727,75.408361,2500,WH-006,ACTIVE,09:00-18:00,2024-02-19
FPS-0032,Santosh Fair Price Shop 032,OFF-06032,BENGALURU_URBAN,BEN-Taluk-1,12.548978,77.659959,1500,WH-007,ACTIVE,09:00-18:00,2024-08-17
FPS-0033,Sahyadri Fair Price Shop 033,OFF-06033,MYSURU,MYS-Taluk-1,12.685042,76.509636,3000,WH-008,SUSPENDED,09:00-18:00,2024-11-13
FPS-0034,Ganga Fair Price Shop 034,OFF-06034,TUMAKURU,TUM-Taluk-3,13.700795,77.101495,1500,WH-009,ACTIVE,09:00-18:00,2023-09-02
FPS-0035,Chamundi Fair Price Shop 035,OFF-06035,MANDYA,MAN-Taluk-4,12.680423,77.110194,2000,WH-010,ACTIVE,09:00-18:00,2024-05-29
FPS-0036,Jan Seva Fair Price Shop 036,OFF-06036,HASSAN,HAS-Taluk-1,12.726912,76.114724,2500,WH-011,ACTIVE,09:00-18:00,2024-11-13
FPS-0037,Bharat Fair Price Shop 037,OFF-06037,SHIVAMOGGA,SHI-Taluk-1,13.679177,75.814942,2000,WH-012,ACTIVE,09:00-18:00,2023-06-05
FPS-0038,Surya Fair Price Shop 038,OFF-06038,BENGALURU_URBAN,BEN-Taluk-2,12.778585,77.541761,834,WH-013,SUSPENDED,09:00-18:00,2023-06-12
FPS-0039,Jai Karnataka Fair Price Shop 039,OFF-06039,MYSURU,MYS-Taluk-2,12.390759,76.713601,2000,WH-014,ACTIVE,09:00-18:00,2023-02-09
FPS-0040,Samridhi Fair Price Shop 040,OFF-06040,TUMAKURU,TUM-Taluk-1,13.453789,77.130441,1200,WH-015,ACTIVE,09:00-18:00,2023-11-18
FPS-0041,Santosh Fair Price Shop 041,OFF-06041,MANDYA,MAN-Taluk-4,12.392558,76.482157,2000,WH-016,ACTIVE,09:00-18:00,2024-09-11
FPS-0042,Tunga Fair Price Shop 042,OFF-06042,HASSAN,HAS-Taluk-4,13.314624,75.860998,3500,WH-017,SUSPENDED,09:00-18:00,2024-04-19
FPS-0043,Kaveri Fair Price Shop 043,OFF-06043,SHIVAMOGGA,SHI-Taluk-1,13.483826,75.823625,2500,WH-018,ACTIVE,09:00-18:00,2023-07-22
FPS-0044,Jai Karnataka Fair Price Shop 044,OFF-06044,BENGALURU_URBAN,BEN-Taluk-4,12.982294,77.939703,2000,WH-019,ACTIVE,09:00-18:00,2024-02-25
FPS-0045,Anna Fair Price Shop 045,OFF-06045,MYSURU,MYS-Taluk-2,12.211528,76.451185,2000,WH-020,ACTIVE,09:00-18:00,2023-07-01
FPS-0046,Namma Fair Price Shop 046,OFF-06046,TUMAKURU,TUM-Taluk-4,13.432882,76.979219,2500,WH-021,ACTIVE,09:00-18:00,2023-03-11
FPS-0047,Ganga Fair Price Shop 047,OFF-06047,MANDYA,MAN-Taluk-1,12.256944,76.516062,2500,WH-022,ACTIVE,09:00-18:00,2023-07-22
FPS-0048,Namma Fair Price Shop 048,OFF-06048,HASSAN,HAS-Taluk-4,13.007541,76.108485,1500,WH-023,ACTIVE,09:00-18:00,2023-05-13
FPS-0049,Laxmi Fair Price Shop 049,OFF-06049,SHIVAMOGGA,SHI-Taluk-2,13.580672,75.851626,3000,WH-024,ACTIVE,09:00-18:00,2023-05-31
FPS-0050,Anna Fair Price Shop 050,OFF-06050,BENGALURU_URBAN,BEN-Taluk-2,13.011557,77.772253,1500,WH-025,ACTIVE,09:00-18:00,2023-05-29
FPS-0051,Jan Seva Fair Price Shop 051,OFF-06051,BENGALURU_URBAN,BEN-Taluk-1,13.299143,77.915673,3500,WH-001,ACTIVE,09:00-18:00,2023-02-25
FPS-0052,Samridhi Fair Price Shop 052,OFF-06052,MYSURU,MYS-Taluk-4,11.951184,76.620292,2000,WH-002,ACTIVE,09:00-18:00,2023-09-27
FPS-0053,Jai Karnataka Fair Price Shop 053,OFF-06053,TUMAKURU,TUM-Taluk-1,13.375308,76.884907,1200,WH-003,SUSPENDED,09:00-18:00,2024-10-19
FPS-0054,Laxmi Fair Price Shop 054,OFF-06054,MANDYA,MAN-Taluk-4,12.566547,76.696545,2000,WH-004,ACTIVE,09:00-18:00,2023-06-09
FPS-0055,Bharat Fair Price Shop 055,OFF-06055,HASSAN,HAS-Taluk-3,13.254,76.189834,1500,WH-005,ACTIVE,09:00-18:00,2024-02-26
FPS-0056,Bharat Fair Price Shop 056,OFF-06056,SHIVAMOGGA,SHI-Taluk-1,14.16453,75.313848,2500,WH-006,SUSPENDED,09:00-18:00,2023-11-15
FPS-0057,Sahyadri Fair Price Shop 057,OFF-06057,BENGALURU_URBAN,BEN-Taluk-1,12.69967,77.492279,2500,WH-007,ACTIVE,09:00-18:00,2023-02-25
FPS-0058,Jai Karnataka Fair Price Shop 058,OFF-06058,MYSURU,MYS-Taluk-4,12.614965,76.569057,2500,WH-008,ACTIVE,09:00-18:00,2023-08-14
FPS-0059,Chamundi Fair Price Shop 059,OFF-06059,TUMAKURU,TUM-Taluk-4,13.694955,77.015696,2000,WH-009,ACTIVE,09:00-18:00,2024-08-12
FPS-0060,Ganga Fair Price Shop 060,OFF-06060,MANDYA,MAN-Taluk-3,13.000102,77.221362,2500,WH-010,ACTIVE,09:00-18:00,2023-07-07
FPS-0061,Laxmi Fair Price Shop 061,OFF-06061,HASSAN,HAS-Taluk-2,12.814612,76.2243,2500,WH-011,ACTIVE,09:00-18:00,2024-11-25
FPS-0062,Namma Fair Price Shop 062,OFF-06062,SHIVAMOGGA,SHI-Taluk-2,13.668943,75.766819,2000,WH-012,SUSPENDED,09:00-18:00,2023-02-12
FPS-0063,Ganga Fair Price Shop 063,OFF-06063,BENGALURU_URBAN,BEN-Taluk-3,12.908824,77.610842,2000,WH-013,ACTIVE,09:00-18:00,2023-09-13
FPS-0064,Jai Karnataka Fair Price Shop 064,OFF-06064,MYSURU,MYS-Taluk-1,12.209402,76.738124,3000,WH-014,ACTIVE,09:00-18:00,2024-06-14
FPS-0065,Jan Seva Fair Price Shop 065,OFF-06065,TUMAKURU,TUM-Taluk-1,13.462093,76.97375,1200,WH-015,ACTIVE,09:00-18:00,2024-02-23
