vehicle_id,vehicle_number,vehicle_type,capacity_kg,current_status,warehouse_id,driver_id,latitude,longitude,availability_start,availability_end
VEH-0001,KA-25-IW-5040,HEAVY,5347,AVAILABLE,WH-001,DRV-0001,13.288834,77.77683,2025-01-01,2026-12-31
VEH-0002,KA-14-AV-6566,LARGE,2932,ASSIGNED,WH-002,DRV-0002,12.1194,76.599602,2025-01-01,2026-12-31
VEH-0003,KA-27-CK-8939,MEDIUM,1535,AVAILABLE,WH-003,DRV-0003,13.336306,76.884407,2025-01-01,2026-12-31
VEH-0004,KA-17-IA-5579,HEAVY,4741,IN_TRANSIT,WH-004,DRV-0004,12.494817,76.794627,2025-01-01,2026-12-31
VEH-0005,KA-12-EB-2604,MEDIUM,1360,AVAILABLE,WH-005,DRV-0005,13.333895,76.233037,2025-01-01,2026-12-31
VEH-0006,KA-04-JH-6790,MEDIUM,1596,AVAILABLE,WH-006,DRV-0006,14.004445,75.416119,2025-01-01,2026-12-31
VEH-0007,KA-18-WP-5544,LARGE,2923,AVAILABLE,WH-007,DRV-0007,12.713272,77.566556,2025-01-01,2026-12-31
VEH-0008,KA-26-FQ-5820,SMALL,827,AVAILABLE,WH-008,DRV-0008,12.580565,76.420091,2025-01-01,2026-12-31
VEH-0009,KA-19-UP-7587,MEDIUM,1529,DELIVERED,WH-009,DRV-0009,13.578649,76.972376,2025-01-01,2026-12-31
VEH-0010,KA-26-NM-2061,SMALL,870,ASSIGNED,WH-010,DRV-0010,12.819701,77.058122,2025-01-01,2026-12-31
VEH-0011,KA-20-FE-1030,MEDIUM,1495,AVAILABLE,WH-011,DRV-0011,12.766993,76.164334,2025-01-01,2026-12-31
VEH-0012,KA-10-BW-2735,LARGE,3211,AVAILABLE,WH-012,DRV-0012,13.766782,75.63518,2025-01-01,2026-12-31
VEH-0013,KA-18-PY-8027,SMALL,762,AVAILABLE,WH-013,DRV-0013,12.805882,77.554512,2025-01-01,2026-12-31
VEH-0014,KA-12-TX-9724,SMALL,875,DELIVERED,WH-014,DRV-0014,12.302062,76.898379,2025-01-01,2026-12-31
VEH-0015,KA-16-TX-7469,MEDIUM,1429,IN_TRANSIT,WH-015,DRV-0015,13.5414,76.956332,2025-01-01,2026-12-31
VEH-0016,KA-28-AW-8456,LARGE,2960,AVAILABLE,WH-016,DRV-0016,12.511641,76.582931,2025-01-01,2026-12-31
VEH-0017,KA-26-WZ-5464,MEDIUM,1433,AVAILABLE,WH-017,DRV-0017,13.146629,75.835565,2025-01-01,2026-12-31
VEH-0018,KA-02-VW-7431,SMALL,830,DELIVERED,WH-018,DRV-0018,13.653204,75.7409,2025-01-01,2026-12-31
VEH-0019,KA-07-PF-5332,HEAVY,4701,AVAILABLE,WH-019,DRV-0019,12.898795,77.807095,2025-01-01,2026-12-31
VEH-0020,KA-03-YV-7492,MEDIUM,1547,AVAILABLE,WH-020,DRV-0020,12.273276,76.438566,2025-01-01,2026-12-31
VEH-0021,KA-05-LR-1807,MEDIUM,1639,IN_TRANSIT,WH-021,DRV-0021,13.597248,76.813231,2025-01-01,2026-12-31
VEH-0022,KA-01-UO-7217,SMALL,790,ASSIGNED,WH-022,DRV-0022,12.413884,76.646556,2025-01-01,2026-12-31
VEH-0023,KA-20-CS-9434,SMALL,837,AVAILABLE,WH-023,DRV-0023,12.876473,76.038998,2025-01-01,2026-12-31
VEH-0024,KA-02-MG-4072,LARGE,3259,AVAILABLE,WH-024,DRV-0024,13.693609,75.803215,2025-01-01,2026-12-31
VEH-0025,KA-23-VA-7587,HEAVY,4845,ASSIGNED,WH-025,DRV-0025,13.034719,77.66415,2025-01-01,2026-12-31
VEH-0026,KA-22-RO-7787,LARGE,2869,DELIVERED,WH-001,DRV-0026,13.26201,77.76536,2025-01-01,2026-12-31
VEH-0027,KA-02-DN-9119,HEAVY,5027,AVAILABLE,WH-002,DRV-0027,12.130418,76.625813,2025-01-01,2026-12-31
VEH-0028,KA-18-ZT-2638,SMALL,775,DELIVERED,WH-003,DRV-0028,13.332896,76.886461,2025-01-01,2026-12-31
VEH-0029,KA-18-MW-2813,MEDIUM,1394,MAINTENANCE,WH-004,DRV-0029,12.50466,76.804417,2025-01-01,2026-12-31
VEH-0030,KA-04-SP-8327,MEDIUM,1395,AVAILABLE,WH-005,DRV-0030,13.316287,76.2242,2025-01-01,2026-12-31
