warehouse_id,warehouse_name,district,latitude,longitude,rice_stock_kg,wheat_stock_kg,total_capacity_kg,status
WH-001,Bengaluru_Urban Central Warehouse 1,BENGALURU_URBAN,13.278607,77.759931,24295,19103,50000,ACTIVE
WH-002,Mysuru Central Warehouse 2,MYSURU,12.111967,76.609749,43737,41240,100000,ACTIVE
WH-003,Tumakuru Central Warehouse 3,TUMAKURU,13.318364,76.902662,21633,20473,50000,ACTIVE
WH-004,Mandya Central Warehouse 4,MANDYA,12.505032,76.802422,30645,26470,75000,ACTIVE
WH-005,Hassan Central Warehouse 5,HASSAN,13.330408,76.214124,72484,57812,150000,ACTIVE
WH-006,Shivamogga Central Warehouse 6,SHIVAMOGGA,14.000078,75.409186,30347,29963,75000,ACTIVE
WH-007,Bengaluru_Urban Central Warehouse 7,BENGALURU_URBAN,12.704545,77.547257,24829,19233,50000,ACTIVE
WH-008,Mysuru Central Warehouse 8,MYSURU,12.594161,76.402707,50923,37811,100000,ACTIVE
WH-009,Tumakuru Central Warehouse 9,TUMAKURU,13.576294,76.976952,45298,33665,100000,ACTIVE
WH-010,Mandya Central Warehouse 10,MANDYA,12.820813,77.071914,45667,38435,100000,ACTIVE
WH-011,Hassan Central Warehouse 11,HASSAN,12.754364,76.170288,23145,17521,50000,ACTIVE
WH-012,Shivamogga Central Warehouse 12,SHIVAMOGGA,13.784699,75.637712,29330,29825,75000,ACTIVE
WH-013,Bengaluru_Urban Central Warehouse 13,BENGALURU_URBAN,12.795488,77.573306,43638,32639,100000,ACTIVE
WH-014,Mysuru Central Warehouse 14,MYSURU,12.315359,76.884655,33121,26599,75000,ACTIVE
WH-015,Tumakuru Central Warehouse 15,TUMAKURU,13.535697,76.951965,19803,21113,50000,ACTIVE
WH-016,Mandya Central Warehouse 16,MANDYA,12.507164,76.571231,19587,17055,50000,ACTIVE
WH-017,Hassan Central Warehouse 17,HASSAN,13.164086,75.821312,42937,32101,100000,ACTIVE
WH-018,Shivamogga Central Warehouse 18,SHIVAMOGGA,13.657366,75.759563,33542,26382,75000,ACTIVE
WH-019,Bengaluru_Urban Central Warehouse 19,BENGALURU_URBAN,12.883141,77.795168,30328,24982,75000,ACTIVE
WH-020,Mysuru Central Warehouse 20,MYSURU,12.254828,76.437189,40015,35569,100000,ACTIVE
WH-021,Tumakuru Central Warehouse 21,TUMAKURU,13.586032,76.828358,25278,17290,50000,ACTIVE
WH-022,Mandya Central Warehouse 22,MANDYA,12.408159,76.651143,41537,36267,100000,ACTIVE
WH-023,Hassan Central Warehouse 23,HASSAN,12.861619,76.032437,22576,19963,50000,ACTIVE
WH-024,Shivamogga Central Warehouse 24,SHIVAMOGGA,13.685515,75.821393,59998,48618,120000,ACTIVE
WH-025,Bengaluru_Urban Central Warehouse 25,BENGALURU_URBAN,13.020592,77.644435,33315,24235,75000,ACTIVE
