allocation_id,cycle,fps_id,commodity,requested_kg,allocated_kg,warehouse_id,status,source,approved_by,approved_at
ALLOC-0000001,2026-01,FPS-0001,RICE,234,234,WH-001,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000002,2026-01,FPS-0001,WHEAT,171,171,WH-001,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000003,2026-01,FPS-0002,RICE,126,126,WH-002,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000004,2026-01,FPS-0002,WHEAT,125,125,WH-002,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000005,2026-01,FPS-0003,RICE,255,255,WH-003,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000006,2026-01,FPS-0003,WHEAT,181,181,WH-003,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000007,2026-01,FPS-0004,RICE,135,135,WH-004,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000008,2026-01,FPS-0004,WHEAT,113,113,WH-004,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000009,2026-01,FPS-0005,RICE,189,189,WH-005,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000010,2026-01,FPS-0005,WHEAT,151,151,WH-005,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000011,2026-01,FPS-0006,RICE,237,237,WH-006,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000012,2026-01,FPS-0006,WHEAT,157,157,WH-006,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000013,2026-01,FPS-0007,RICE,115,115,WH-007,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000014,2026-01,FPS-0007,WHEAT,95,95,WH-007,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000015,2026-01,FPS-0008,RICE,198,198,WH-008,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000016,2026-01,FPS-0008,WHEAT,163,163,WH-008,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000017,2026-01,FPS-0009,RICE,124,124,WH-009,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000018,2026-01,FPS-0009,WHEAT,121,121,WH-009,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000019,2026-01,FPS-0010,RICE,234,234,WH-010,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000020,2026-01,FPS-0010,WHEAT,161,161,WH-010,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000021,2026-01,FPS-0011,RICE,149,149,WH-011,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000022,2026-01,FPS-0011,WHEAT,120,120,WH-011,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000023,2026-01,FPS-0012,RICE,194,194,WH-012,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000024,2026-01,FPS-0012,WHEAT,160,160,WH-012,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000025,2026-01,FPS-0013,RICE,210,210,WH-013,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000026,2026-01,FPS-0013,WHEAT,162,162,WH-013,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000027,2026-01,FPS-0014,RICE,125,125,WH-014,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000028,2026-01,FPS-0014,WHEAT,116,116,WH-014,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000029,2026-01,FPS-0015,RICE,176,176,WH-015,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000030,2026-01,FPS-0015,WHEAT,140,140,WH-015,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000031,2026-01,FPS-0016,RICE,182,182,WH-016,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000032,2026-01,FPS-0016,WHEAT,142,142,WH-016,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000033,2026-01,FPS-0017,RICE,152,152,WH-017,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000034,2026-01,FPS-0017,WHEAT,138,138,WH-017,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000035,2026-01,FPS-0018,RICE,240,240,WH-018,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000036,2026-01,FPS-0018,WHEAT,189,189,WH-018,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000037,2026-01,FPS-0019,RICE,175,175,WH-019,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000038,2026-01,FPS-0019,WHEAT,139,139,WH-019,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000039,2026-01,FPS-0020,RICE,145,145,WH-020,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000040,2026-01,FPS-0020,WHEAT,138,138,WH-020,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000041,2026-01,FPS-0021,RICE,259,259,WH-021,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000042,2026-01,FPS-0021,WHEAT,188,188,WH-021,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000043,2026-01,FPS-0022,RICE,157,157,WH-022,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000044,2026-01,FPS-0022,WHEAT,141,141,WH-022,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000045,2026-01,FPS-0023,RICE,144,144,WH-023,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000046,2026-01,FPS-0023,WHEAT,131,131,WH-023,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000047,2026-01,FPS-0024,RICE,139,139,WH-024,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000048,2026-01,FPS-0024,WHEAT,129,129,WH-024,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000049,2026-01,FPS-0025,RICE,241,241,WH-025,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000050,2026-01,FPS-0025,WHEAT,166,166,WH-025,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000051,2026-01,FPS-0026,RICE,142,142,WH-001,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000052,2026-01,FPS-0026,WHEAT,130,130,WH-001,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000053,2026-01,FPS-0027,RICE,142,142,WH-002,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000054,2026-01,FPS-0027,WHEAT,116,116,WH-002,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000055,2026-01,FPS-0028,RICE,138,138,WH-003,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
ALLOC-0000056,2026-01,FPS-0028,WHEAT,121,121,WH-003,APPROVED,SYSTEM,OFF-00001,2025-12-29T11:00:00
