forecast_id,fps_id,cycle,commodity,baseline_demand_kg,intent_demand_kg,forecast_demand_kg,model_version,prediction_generated_at,training_dataset_version,prediction_horizon
FC-0000001,FPS-0001,2026-01,RICE,290,207,239,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000002,FPS-0001,2026-01,WHEAT,211,134,168,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000003,FPS-0002,2026-01,RICE,200,72,128,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000004,FPS-0002,2026-01,WHEAT,200,50,122,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000005,FPS-0003,2026-01,RICE,282,207,248,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000006,FPS-0003,2026-01,WHEAT,213,136,178,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000007,FPS-0004,2026-01,RICE,200,64,132,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000008,FPS-0004,2026-01,WHEAT,200,43,115,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000009,FPS-0005,2026-01,RICE,204,159,182,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000010,FPS-0005,2026-01,WHEAT,200,112,150,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000011,FPS-0006,2026-01,RICE,294,163,230,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000012,FPS-0006,2026-01,WHEAT,214,105,156,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000013,FPS-0007,2026-01,RICE,200,37,113,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000014,FPS-0007,2026-01,WHEAT,200,24,101,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000015,FPS-0008,2026-01,RICE,205,165,193,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000016,FPS-0008,2026-01,WHEAT,200,112,160,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000017,FPS-0009,2026-01,RICE,200,58,122,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000018,FPS-0009,2026-01,WHEAT,200,39,116,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000019,FPS-0010,2026-01,RICE,246,200,231,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000020,FPS-0010,2026-01,WHEAT,180,131,159,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000021,FPS-0011,2026-01,RICE,200,99,146,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000022,FPS-0011,2026-01,WHEAT,180,64,121,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000023,FPS-0012,2026-01,RICE,228,159,197,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000024,FPS-0012,2026-01,WHEAT,200,103,155,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000025,FPS-0013,2026-01,RICE,231,185,205,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000026,FPS-0013,2026-01,WHEAT,200,133,169,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000027,FPS-0014,2026-01,RICE,200,68,131,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000028,FPS-0014,2026-01,WHEAT,200,44,112,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000029,FPS-0015,2026-01,RICE,200,132,171,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000030,FPS-0015,2026-01,WHEAT,200,88,141,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000031,FPS-0016,2026-01,RICE,231,129,183,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
FC-0000032,FPS-0016,2026-01,WHEAT,200,84,140,xgb-v1.0,2025-12-28T10:00:00,hist-v1-202512,30d
