fps_id,cycle,commodity,demand_kg,beneficiary_count,season,month,year,previous_demand_kg,trend_factor,season_factor,stockout_flag
FPS-0001,2025-01,RICE,298,22,RABI,1,2025,278,0.002,1.0,0
FPS-0001,2025-01,WHEAT,215,22,RABI,1,2025,213,0.034,1.0,0
FPS-0002,2025-01,RICE,200,13,RABI,1,2025,205,-0.009,1.0,0
FPS-0002,2025-01,WHEAT,200,13,RABI,1,2025,201,0.077,1.0,0
FPS-0003,2025-01,RICE,301,25,RABI,1,2025,296,0.061,1.0,0
FPS-0003,2025-01,WHEAT,208,25,RABI,1,2025,200,0.016,1.0,0
FPS-0004,2025-01,RICE,200,13,RABI,1,2025,202,-0.0,1.0,0
FPS-0004,2025-01,WHEAT,200,13,RABI,1,2025,200,-0.006,1.0,0
FPS-0005,2025-01,RICE,222,18,RABI,1,2025,218,0.058,1.0,0
FPS-0005,2025-01,WHEAT,200,18,RABI,1,2025,184,-0.028,1.0,0
FPS-0006,2025-01,RICE,281,20,RABI,1,2025,289,-0.017,1.0,0
FPS-0006,2025-01,WHEAT,218,20,RABI,1,2025,218,0.027,1.0,0
FPS-0007,2025-01,RICE,200,11,RABI,1,2025,198,-0.004,1.0,0
FPS-0007,2025-01,WHEAT,200,11,RABI,1,2025,194,0.051,1.0,0
FPS-0008,2025-01,RICE,200,17,RABI,1,2025,200,-0.031,1.0,0
FPS-0008,2025-01,WHEAT,200,17,RABI,1,2025,186,-0.004,1.0,0
FPS-0009,2025-01,RICE,200,13,RABI,1,2025,196,0.034,1.0,0
FPS-0009,2025-01,WHEAT,200,13,RABI,1,2025,188,0.02,1.0,0
FPS-0010,2025-01,RICE,255,17,RABI,1,2025,237,0.062,1.0,0
FPS-0010,2025-01,WHEAT,200,17,RABI,1,2025,209,0.03,1.0,0
FPS-0011,2025-01,RICE,200,14,RABI,1,2025,186,0.041,1.0,0
FPS-0011,2025-01,WHEAT,200,14,RABI,1,2025,185,-0.033,1.0,0
FPS-0012,2025-01,RICE,253,20,RABI,1,2025,266,0.032,1.0,0
FPS-0012,2025-01,WHEAT,200,20,RABI,1,2025,185,-0.005,1.0,0
FPS-0013,2025-01,RICE,245,17,RABI,1,2025,258,0.002,1.0,0
FPS-0013,2025-01,WHEAT,200,17,RABI,1,2025,188,-0.049,1.0,0
FPS-0014,2025-01,RICE,200,11,RABI,1,2025,210,0.015,1.0,0
FPS-0014,2025-01,WHEAT,200,11,RABI,1,2025,203,0.014,1.0,0
FPS-0015,2025-01,RICE,200,14,RABI,1,2025,205,-0.024,1.0,0
