intent_id,beneficiary_id,fps_id,cycle,rice_quantity_kg,wheat_quantity_kg,total_quantity_kg,collection_mode,submitted_at,status
INT-0000001,BEN-009567,FPS-0126,2026-01,7,4,11,AUTHORIZED_PERSON,2026-01-14T17:30:00,SUBMITTED
INT-0000002,BEN-008654,FPS-0536,2026-01,2,2,4,SELF,2026-01-15T10:44:00,SUBMITTED
INT-0000003,BEN-000167,FPS-0354,2026-01,11,8,19,AUTHORIZED_PERSON,2026-01-14T16:20:00,SUBMITTED
INT-0000004,BEN-004361,FPS-0411,2026-01,4,3,7,AUTHORIZED_PERSON,2026-01-08T14:49:00,SUBMITTED
INT-0000005,BEN-007961,FPS-0236,2026-01,6,4,10,SELF,2026-01-19T11:44:00,SUBMITTED
INT-0000006,BEN-000912,FPS-0268,2026-01,3,2,5,AUTHORIZED_PERSON,2026-01-05T14:26:00,SUBMITTED
INT-0000007,BEN-001984,FPS-0142,2026-01,9,4,13,SELF,2026-01-18T18:22:00,SUBMITTED
INT-0000008,BEN-000837,FPS-0511,2026-01,11,6,17,AUTHORIZED_PERSON,2026-01-14T08:49:00,SUBMITTED
INT-0000009,BEN-006510,FPS-0045,2026-01,7,4,11,AUTHORIZED_PERSON,2026-01-08T10:19:00,SUBMITTED
INT-0000010,BEN-001521,FPS-0243,2026-01,21,14,35,AUTHORIZED_PERSON,2026-01-11T10:08:00,SUBMITTED
INT-0000011,BEN-000112,FPS-0266,2026-01,4,3,7,AUTHORIZED_PERSON,2026-01-17T11:14:00,SUBMITTED
INT-0000012,BEN-001759,FPS-0019,2026-01,5,4,9,SELF,2026-01-20T12:37:00,SUBMITTED
INT-0000013,BEN-009153,FPS-0578,2026-01,18,13,31,AUTHORIZED_PERSON,2026-01-12T10:40:00,SUBMITTED
INT-0000014,BEN-006746,FPS-0598,2026-01,22,13,35,SELF,2026-01-20T14:35:00,SUBMITTED
INT-0000015,BEN-003103,FPS-0384,2026-01,9,7,16,AUTHORIZED_PERSON,2026-01-20T13:44:00,SUBMITTED
INT-0000016,BEN-003479,FPS-0172,2026-01,9,6,15,AUTHORIZED_PERSON,2026-01-13T13:53:00,SUBMITTED
INT-0000017,BEN-007536,FPS-0313,2026-01,7,5,12,AUTHORIZED_PERSON,2026-01-05T12:43:00,SUBMITTED
INT-0000018,BEN-004106,FPS-0568,2026-01,23,12,35,AUTHORIZED_PERSON,2026-01-08T08:55:00,SUBMITTED
INT-0000019,BEN-007808,FPS-0274,2026-01,9,6,15,AUTHORIZED_PERSON,2026-01-15T10:55:00,SUBMITTED
INT-0000020,BEN-000221,FPS-0591,2026-01,5,3,8,AUTHORIZED_PERSON,2026-01-13T15:32:00,SUBMITTED
INT-0000021,BEN-004099,FPS-0248,2026-01,12,10,22,SELF,2026-01-14T11:05:00,SUBMITTED
INT-0000022,BEN-007985,FPS-0053,2026-01,7,6,13,SELF,2026-01-08T18:37:00,SUBMITTED
INT-0000023,BEN-008918,FPS-0479,2026-01,21,12,33,AUTHORIZED_PERSON,2026-01-12T08:04:00,SUBMITTED
INT-0000024,BEN-002615,FPS-0374,2026-01,21,13,34,AUTHORIZED_PERSON,2026-01-10T08:05:00,SUBMITTED
INT-0000025,BEN-004098,FPS-0163,2026-01,10,6,16,SELF,2026-01-12T12:24:00,SUBMITTED
INT-0000026,BEN-007941,FPS-0434,2026-01,21,14,35,AUTHORIZED_PERSON,2026-01-14T17:37:00,SUBMITTED
INT-0000027,BEN-008519,FPS-0380,2026-01,6,4,10,AUTHORIZED_PERSON,2026-01-06T19:13:00,SUBMITTED
INT-0000028,BEN-006010,FPS-0315,2026-01,16,11,27,AUTHORIZED_PERSON,2026-01-14T12:14:00,SUBMITTED
INT-0000029,BEN-006855,FPS-0577,2026-01,12,8,20,AUTHORIZED_PERSON,2026-01-17T16:30:00,SUBMITTED
INT-0000030,BEN-006593,FPS-0533,2026-01,8,7,15,SELF,2026-01-15T09:01:00,SUBMITTED
INT-0000031,BEN-009450,FPS-0228,2026-01,11,8,19,AUTHORIZED_PERSON,2026-01-16T16:34:00,SUBMITTED
INT-0000032,BEN-002701,FPS-0191,2026-01,22,13,35,SELF,2026-01-12T15:04:00,SUBMITTED
INT-0000033,BEN-005223,FPS-0026,2026-01,17,13,30,AUTHORIZED_PERSON,2026-01-09T08:54:00,SUBMITTED
