delivery_id,manifest_id,manifest_item_id,fps_id,vehicle_id,planned_kg,delivered_kg,delivery_date,rice_kg,wheat_kg,status,verified_by
DEL-0000001,MAN-000001,MI-0000001,FPS-0401,VEH-0101,216,204,2026-01-09,204,0,REJECTED,OFF-00009
DEL-0000002,MAN-000001,MI-0000002,FPS-0401,VEH-0101,160,152,2026-01-07,0,152,REJECTED,OFF-00063
DEL-0000003,MAN-000001,MI-0000003,FPS-0576,VEH-0101,155,159,2026-01-09,159,0,VARIANCE,OFF-00025
DEL-0000004,MAN-000001,MI-0000004,FPS-0576,VEH-0101,136,135,2026-01-09,0,135,VERIFIED,OFF-00027
DEL-0000005,MAN-000001,MI-0000005,FPS-0026,VEH-0101,142,138,2026-01-10,138,0,VARIANCE,OFF-00039
DEL-0000006,MAN-000001,MI-0000006,FPS-0026,VEH-0101,130,126,2026-01-07,0,126,VARIANCE,OFF-00018
DEL-0000007,MAN-000001,MI-0000007,FPS-0476,VEH-0101,151,156,2026-01-10,156,0,VARIANCE,OFF-00022
DEL-0000008,MAN-000001,MI-0000008,FPS-0476,VEH-0101,129,125,2026-01-07,0,125,VARIANCE,OFF-00033
DEL-0000009,MAN-000001,MI-0000009,FPS-0501,VEH-0101,151,156,2026-01-09,156,0,VARIANCE,OFF-00049
DEL-0000010,MAN-000001,MI-0000010,FPS-0501,VEH-0101,135,131,2026-01-10,0,131,VARIANCE,OFF-00060
DEL-0000011,MAN-000001,MI-0000011,FPS-0376,VEH-0101,142,136,2026-01-08,136,0,REJECTED,OFF-00011
DEL-0000012,MAN-000001,MI-0000012,FPS-0376,VEH-0101,129,126,2026-01-10,0,126,VARIANCE,OFF-00064
DEL-0000013,MAN-000002,MI-0000013,FPS-0526,VEH-0101,150,147,2026-01-09,147,0,VARIANCE,OFF-00047
DEL-0000014,MAN-000002,MI-0000014,FPS-0526,VEH-0101,134,133,2026-01-07,0,133,VERIFIED,OFF-00048
DEL-0000015,MAN-000002,MI-0000015,FPS-0251,VEH-0101,158,156,2026-01-07,156,0,VERIFIED,OFF-00054
DEL-0000016,MAN-000002,MI-0000016,FPS-0251,VEH-0101,136,133,2026-01-10,0,133,VARIANCE,OFF-00027
DEL-0000017,MAN-000002,MI-0000017,FPS-0301,VEH-0101,177,174,2026-01-07,174,0,VARIANCE,OFF-00041
DEL-0000018,MAN-000002,MI-0000018,FPS-0301,VEH-0101,149,147,2026-01-10,0,147,VERIFIED,OFF-00039
DEL-0000019,MAN-000002,MI-0000019,FPS-0226,VEH-0101,150,147,2026-01-09,147,0,VARIANCE,OFF-00056
DEL-0000020,MAN-000002,MI-0000020,FPS-0226,VEH-0101,127,127,2026-01-09,0,127,VERIFIED,OFF-00034
DEL-0000021,MAN-000002,MI-0000021,FPS-0551,VEH-0101,140,137,2026-01-08,137,0,VARIANCE,OFF-00031
DEL-0000022,MAN-000002,MI-0000022,FPS-0551,VEH-0101,122,120,2026-01-09,0,120,VARIANCE,OFF-00052
DEL-0000023,MAN-000002,MI-0000023,FPS-0051,VEH-0101,185,182,2026-01-09,182,0,VARIANCE,OFF-00042
DEL-0000024,MAN-000002,MI-0000024,FPS-0051,VEH-0101,136,133,2026-01-08,0,133,VARIANCE,OFF-00022
DEL-0000025,MAN-000003,MI-0000025,FPS-0126,VEH-0101,132,130,2026-01-08,130,0,VARIANCE,OFF-00066
DEL-0000026,MAN-000003,MI-0000026,FPS-0126,VEH-0101,128,128,2026-01-08,0,128,VERIFIED,OFF-00031
