manifest_item_id,manifest_id,fps_id,commodity,planned_kg,sequence_number,allocation_id
MI-0000001,MAN-000001,FPS-0401,RICE,216,1,ALLOC-0000801
MI-0000002,MAN-000001,FPS-0401,WHEAT,160,1,ALLOC-0000802
MI-0000003,MAN-000001,FPS-0576,RICE,155,2,ALLOC-0001151
MI-0000004,MAN-000001,FPS-0576,WHEAT,136,2,ALLOC-0001152
MI-0000005,MAN-000001,FPS-0026,RICE,142,3,ALLOC-0000051
MI-0000006,MAN-000001,FPS-0026,WHEAT,130,3,ALLOC-0000052
MI-0000007,MAN-000001,FPS-0476,RICE,151,4,ALLOC-0000951
MI-0000008,MAN-000001,FPS-0476,WHEAT,129,4,ALLOC-0000952
MI-0000009,MAN-000001,FPS-0501,RICE,151,5,ALLOC-0001001
MI-0000010,MAN-000001,FPS-0501,WHEAT,135,5,ALLOC-0001002
MI-0000011,MAN-000001,FPS-0376,RICE,142,6,ALLOC-0000751
MI-0000012,MAN-000001,FPS-0376,WHEAT,129,6,ALLOC-0000752
MI-0000013,MAN-000002,FPS-0526,RICE,150,1,ALLOC-0001051
MI-0000014,MAN-000002,FPS-0526,WHEAT,134,1,ALLOC-0001052
MI-0000015,MAN-000002,FPS-0251,RICE,158,2,ALLOC-0000501
MI-0000016,MAN-000002,FPS-0251,WHEAT,136,2,ALLOC-0000502
MI-0000017,MAN-000002,FPS-0301,RICE,177,3,ALLOC-0000601
MI-0000018,MAN-000002,FPS-0301,WHEAT,149,3,ALLOC-0000602
MI-0000019,MAN-000002,FPS-0226,RICE,150,4,ALLOC-0000451
MI-0000020,MAN-000002,FPS-0226,WHEAT,127,4,ALLOC-0000452
MI-0000021,MAN-000002,FPS-0551,RICE,140,5,ALLOC-0001101
MI-0000022,MAN-000002,FPS-0551,WHEAT,122,5,ALLOC-0001102
MI-0000023,MAN-000002,FPS-0051,RICE,185,6,ALLOC-0000101
MI-0000024,MAN-000002,FPS-0051,WHEAT,136,6,ALLOC-0000102
MI-0000025,MAN-000003,FPS-0126,RICE,132,1,ALLOC-0000251
MI-0000026,MAN-000003,FPS-0126,WHEAT,128,1,ALLOC-0000252
MI-0000027,MAN-000003,FPS-0201,RICE,129,2,ALLOC-0000401
MI-0000028,MAN-000003,FPS-0201,WHEAT,120,2,ALLOC-0000402
MI-0000029,MAN-000003,FPS-0426,RICE,210,3,ALLOC-0000851
MI-0000030,MAN-000003,FPS-0426,WHEAT,148,3,ALLOC-0000852
MI-0000031,MAN-000003,FPS-0151,RICE,190,4,ALLOC-0000301
MI-0000032,MAN-000003,FPS-0151,WHEAT,147,4,ALLOC-0000302
MI-0000033,MAN-000003,FPS-0101,RICE,203,5,ALLOC-0000201
MI-0000034,MAN-000003,FPS-0101,WHEAT,165,5,ALLOC-0000202
MI-0000035,MAN-000003,FPS-0276,RICE,165,6,ALLOC-0000551
MI-0000036,MAN-000003,FPS-0276,WHEAT,132,6,ALLOC-0000552
MI-0000037,MAN-000004,FPS-0351,RICE,111,1,ALLOC-0000701
MI-0000038,MAN-000004,FPS-0351,WHEAT,116,1,ALLOC-0000702
