transaction_id,beneficiary_id,fps_id,cycle,commodity,quantity_kg,transaction_time,status,receipt_number
EPOS-00000001,BEN-007743,FPS-0115,2026-01,RICE,10,2026-01-17T16:00:00,SUCCESS,RCT922536
EPOS-00000002,BEN-007743,FPS-0115,2026-01,WHEAT,6,2026-01-11T13:00:00,SUCCESS,RCT564203
EPOS-00000003,BEN-007174,FPS-0115,2026-01,RICE,12,2026-01-18T16:00:00,SUCCESS,RCT484362
EPOS-00000004,BEN-007174,FPS-0115,2026-01,WHEAT,7,2026-01-21T15:00:00,SUCCESS,RCT202004
EPOS-00000005,BEN-002512,FPS-0115,2026-01,RICE,5,2026-01-14T15:00:00,SUCCESS,RCT849836
EPOS-00000006,BEN-002512,FPS-0115,2026-01,WHEAT,3,2026-01-21T09:00:00,SUCCESS,RCT447532
EPOS-00000007,BEN-005356,FPS-0115,2026-01,RICE,13,2026-01-18T14:00:00,SUCCESS,RCT707317
EPOS-00000008,BEN-005356,FPS-0115,2026-01,WHEAT,11,2026-01-15T11:00:00,CANCELLED,RCT910316
EPOS-00000009,BEN-009630,FPS-0115,2026-01,RICE,2,2026-01-20T15:00:00,SUCCESS,RCT511583
EPOS-00000010,BEN-009630,FPS-0115,2026-01,WHEAT,1,2026-01-15T14:00:00,SUCCESS,RCT779192
EPOS-00000011,BEN-009252,FPS-0115,2026-01,RICE,6,2026-01-10T13:00:00,SUCCESS,RCT138644
EPOS-00000012,BEN-009252,FPS-0115,2026-01,WHEAT,7,2026-01-11T17:00:00,SUCCESS,RCT703756
EPOS-00000013,BEN-007716,FPS-0115,2026-01,RICE,11,2026-01-14T14:00:00,SUCCESS,RCT503836
EPOS-00000014,BEN-007716,FPS-0115,2026-01,WHEAT,9,2026-01-14T14:00:00,SUCCESS,RCT803281
EPOS-00000015,BEN-005967,FPS-0115,2026-01,RICE,6,2026-01-16T14:00:00,SUCCESS,RCT837363
EPOS-00000016,BEN-005967,FPS-0115,2026-01,WHEAT,6,2026-01-11T14:00:00,SUCCESS,RCT996004
EPOS-00000017,BEN-006661,FPS-0391,2026-01,RICE,15,2026-01-20T17:00:00,CANCELLED,RCT990358
EPOS-00000018,BEN-006661,FPS-0391,2026-01,WHEAT,9,2026-01-17T13:00:00,FAILED,RCT448704
EPOS-00000019,BEN-002899,FPS-0391,2026-01,RICE,9,2026-01-25T10:00:00,SUCCESS,RCT343625
EPOS-00000020,BEN-002899,FPS-0391,2026-01,WHEAT,2,2026-01-18T09:00:00,SUCCESS,RCT531627
EPOS-00000021,BEN-003494,FPS-0391,2026-01,RICE,20,2026-01-11T10:00:00,SUCCESS,RCT818418
EPOS-00000022,BEN-003494,FPS-0391,2026-01,WHEAT,11,2026-01-19T13:00:00,SUCCESS,RCT439293
EPOS-00000023,BEN-000555,FPS-0391,2026-01,RICE,8,2026-01-23T11:00:00,SUCCESS,RCT135565
EPOS-00000024,BEN-000555,FPS-0391,2026-01,WHEAT,5,2026-01-17T14:00:00,SUCCESS,RCT362858
EPOS-00000025,BEN-002374,FPS-0391,2026-01,RICE,21,2026-01-19T17:00:00,SUCCESS,RCT548654
EPOS-00000026,BEN-002374,FPS-0391,2026-01,WHEAT,6,2026-01-13T17:00:00,FAILED,RCT320835
EPOS-00000027,BEN-007684,FPS-0391,2026-01,RICE,5,2026-01-18T10:00:00,SUCCESS,RCT136545
EPOS-00000028,BEN-007684,FPS-0391,2026-01,WHEAT,3,2026-01-21T12:00:00,SUCCESS,RCT295793
EPOS-00000029,BEN-003498,FPS-0391,2026-01,RICE,4,2026-01-13T15:00:00,SUCCESS,RCT328176
EPOS-00000030,BEN-003498,FPS-0391,2026-01,WHEAT,5,2026-01-18T10:00:00,FAILED,RCT344528
EPOS-00000031,BEN-005573,FPS-0391,2026-01,RICE,18,2026-01-12T15:00:00,SUCCESS,RCT892865
EPOS-00000032,BEN-005573,FPS-0391,2026-01,WHEAT,9,2026-01-22T17:00:00,FAILED,RCT526457
EPOS-00000033,BEN-002503,FPS-0391,2026-01,RICE,1,2026-01-22T17:00:00,SUCCESS,RCT589737
EPOS-00000034,BEN-002503,FPS-0391,2026-01,WHEAT,1,2026-01-19T09:00:00,SUCCESS,RCT249797
EPOS-00000035,BEN-007580,FPS-0391,2026-01,RICE,11,2026-01-15T17:00:00,SUCCESS,RCT583293
EPOS-00000036,BEN-007580,FPS-0391,2026-01,WHEAT,6,2026-01-10T13:00:00,SUCCESS,RCT508812
EPOS-00000037,BEN-000951,FPS-0391,2026-01,RICE,17,2026-01-15T09:00:00,SUCCESS,RCT981507
EPOS-00000038,BEN-000951,FPS-0391,2026-01,WHEAT,9,2026-01-17T15:00:00,SUCCESS,RCT483064
EPOS-00000039,BEN-003561,FPS-0391,2026-01,RICE,5,2026-01-22T13:00:00,SUCCESS,RCT685570
EPOS-00000040,BEN-003561,FPS-0391,2026-01,WHEAT,3,2026-01-23T17:00:00,SUCCESS,RCT414048
EPOS-00000041,BEN-004804,FPS-0166,2026-01,RICE,9,2026-01-22T09:00:00,SUCCESS,RCT197636
EPOS-00000042,BEN-004804,FPS-0166,2026-01,WHEAT,8,2026-01-22T16:00:00,FAILED,RCT598114
EPOS-00000043,BEN-006698,FPS-0166,2026-01,RICE,11,2026-01-21T09:00:00,SUCCESS,RCT990952
EPOS-00000044,BEN-006698,FPS-0166,2026-01,WHEAT,3,2026-01-23T17:00:00,SUCCESS,RCT422322
EPOS-00000045,BEN-006896,FPS-0166,2026-01,RICE,4,2026-01-20T14:00:00,SUCCESS,RCT489792
EPOS-00000046,BEN-006896,FPS-0166,2026-01,WHEAT,3,2026-01-21T10:00:00,SUCCESS,RCT958837
EPOS-00000047,BEN-001193,FPS-0166,2026-01,RICE,5,2026-01-10T10:00:00,CANCELLED,RCT380014
EPOS-00000048,BEN-001193,FPS-0166,2026-01,WHEAT,3,2026-01-16T10:00:00,SUCCESS,RCT620534
EPOS-00000049,BEN-009003,FPS-0166,2026-01,RICE,20,2026-01-17T12:00:00,SUCCESS,RCT357047
EPOS-00000050,BEN-009003,FPS-0166,2026-01,WHEAT,13,2026-01-18T15:00:00,SUCCESS,RCT942565
EPOS-00000051,BEN-009403,FPS-0166,2026-01,RICE,15,2026-01-21T12:00:00,SUCCESS,RCT346731
EPOS-00000052,BEN-009403,FPS-0166,2026-01,WHEAT,5,2026-01-19T17:00:00,SUCCESS,RCT326741
EPOS-00000053,BEN-006065,FPS-0166,2026-01,RICE,4,2026-01-18T11:00:00,SUCCESS,RCT902738
EPOS-00000054,BEN-006065,FPS-0166,2026-01,WHEAT,3,2026-01-22T13:00:00,SUCCESS,RCT938073
EPOS-00000055,BEN-001914,FPS-0166,2026-01,RICE,16,2026-01-18T17:00:00,SUCCESS,RCT619240
EPOS-00000056,BEN-001914,FPS-0166,2026-01,WHEAT,13,2026-01-21T16:00:00,SUCCESS,RCT769200
EPOS-00000057,BEN-006244,FPS-0166,2026-01,RICE,12,2026-01-18T09:00:00,SUCCESS,RCT911101
EPOS-00000058,BEN-006244,FPS-0166,2026-01,WHEAT,6,2026-01-10T09:00:00,SUCCESS,RCT558602
EPOS-00000059,BEN-005727,FPS-0166,2026-01,RICE,4,2026-01-15T17:00:00,SUCCESS,RCT954801
EPOS-00000060,BEN-005727,FPS-0166,2026-01,WHEAT,3,2026-01-14T09:00:00,SUCCESS,RCT202921
EPOS-00000061,BEN-006753,FPS-0166,2026-01,RICE,5,2026-01-18T17:00:00,SUCCESS,RCT614978
EPOS-00000062,BEN-006753,FPS-0166,2026-01,WHEAT,3,2026-01-14T11:00:00,SUCCESS,RCT164187
EPOS-00000063,BEN-000020,FPS-0159,2026-01,RICE,8,2026-01-24T11:00:00,SUCCESS,RCT625010
EPOS-00000064,BEN-000020,FPS-0159,2026-01,WHEAT,5,2026-01-22T16:00:00,SUCCESS,RCT825154
EPOS-00000065,BEN-003826,FPS-0159,2026-01,RICE,17,2026-01-23T17:00:00,SUCCESS,RCT808785
EPOS-00000066,BEN-003826,FPS-0159,2026-01,WHEAT,12,2026-01-11T13:00:00,SUCCESS,RCT180113
EPOS-00000067,BEN-000665,FPS-0159,2026-01,RICE,6,2026-01-25T09:00:00,SUCCESS,RCT466599
EPOS-00000068,BEN-000665,FPS-0159,2026-01,WHEAT,6,2026-01-22T13:00:00,SUCCESS,RCT488726
EPOS-00000069,BEN-007600,FPS-0159,2026-01,RICE,5,2026-01-16T14:00:00,SUCCESS,RCT434157
EPOS-00000070,BEN-007600,FPS-0159,2026-01,WHEAT,3,2026-01-17T09:00:00,SUCCESS,RCT779850
EPOS-00000071,BEN-004873,FPS-0159,2026-01,RICE,8,2026-01-11T17:00:00,SUCCESS,RCT660310
EPOS-00000072,BEN-004873,FPS-0159,2026-01,WHEAT,4,2026-01-20T17:00:00,SUCCESS,RCT547716
EPOS-00000073,BEN-006032,FPS-0159,2026-01,RICE,5,2026-01-15T10:00:00,SUCCESS,RCT397700
EPOS-00000074,BEN-006032,FPS-0159,2026-01,WHEAT,7,2026-01-13T11:00:00,SUCCESS,RCT536472
EPOS-00000075,BEN-007525,FPS-0159,2026-01,RICE,14,2026-01-18T16:00:00,SUCCESS,RCT273098
EPOS-00000076,BEN-007525,FPS-0159,2026-01,WHEAT,4,2026-01-10T11:00:00,SUCCESS,RCT193316
EPOS-00000077,BEN-000361,FPS-0159,2026-01,RICE,13,2026-01-14T14:00:00,SUCCESS,RCT501463
EPOS-00000078,BEN-000361,FPS-0159,2026-01,WHEAT,7,2026-01-21T12:00:00,SUCCESS,RCT226372
EPOS-00000079,BEN-003624,FPS-0159,2026-01,RICE,16,2026-01-24T13:00:00,SUCCESS,RCT653978
EPOS-00000080,BEN-003624,FPS-0159,2026-01,WHEAT,10,2026-01-16T11:00:00,SUCCESS,RCT418119
EPOS-00000081,BEN-007659,FPS-0159,2026-01,RICE,6,2026-01-11T15:00:00,SUCCESS,RCT694734
EPOS-00000082,BEN-007659,FPS-0159,2026-01,WHEAT,6,2026-01-17T17:00:00,SUCCESS,RCT809682
EPOS-00000083,BEN-005756,FPS-0041,2026-01,RICE,5,2026-01-22T12:00:00,SUCCESS,RCT602439
EPOS-00000084,BEN-005756,FPS-0041,2026-01,WHEAT,2,2026-01-15T11:00:00,SUCCESS,RCT155923
EPOS-00000085,BEN-008192,FPS-0041,2026-01,RICE,10,2026-01-24T10:00:00,SUCCESS,RCT777230
EPOS-00000086,BEN-008192,FPS-0041,2026-01,WHEAT,7,2026-01-21T15:00:00,SUCCESS,RCT820199
EPOS-00000087,BEN-005162,FPS-0041,2026-01,RICE,15,2026-01-10T17:00:00,CANCELLED,RCT355652
EPOS-00000088,BEN-005162,FPS-0041,2026-01,WHEAT,12,2026-01-14T12:00:00,SUCCESS,RCT411031
EPOS-00000089,BEN-008494,FPS-0041,2026-01,RICE,5,2026-01-19T14:00:00,SUCCESS,RCT386903
EPOS-00000090,BEN-008494,FPS-0041,2026-01,WHEAT,3,2026-01-24T10:00:00,SUCCESS,RCT140812
EPOS-00000091,BEN-003457,FPS-0041,2026-01,RICE,20,2026-01-16T15:00:00,SUCCESS,RCT701389
EPOS-00000092,BEN-003457,FPS-0041,2026-01,WHEAT,11,2026-01-13T15:00:00,CANCELLED,RCT524836
EPOS-00000093,BEN-009384,FPS-0041,2026-01,RICE,20,2026-01-18T14:00:00,SUCCESS,RCT864436
EPOS-00000094,BEN-009384,FPS-0041,2026-01,WHEAT,11,2026-01-23T15:00:00,CANCELLED,RCT332423
EPOS-00000095,BEN-008455,FPS-0041,2026-01,RICE,19,2026-01-25T14:00:00,CANCELLED,RCT959978
EPOS-00000096,BEN-008455,FPS-0041,2026-01,WHEAT,12,2026-01-21T15:00:00,FAILED,RCT233058
EPOS-00000097,BEN-007181,FPS-0041,2026-01,RICE,15,2026-01-21T10:00:00,SUCCESS,RCT518047
EPOS-00000098,BEN-007181,FPS-0041,2026-01,WHEAT,11,2026-01-18T14:00:00,SUCCESS,RCT758606
EPOS-00000099,BEN-008218,FPS-0338,2026-01,RICE,19,2026-01-15T14:00:00,SUCCESS,RCT650611
EPOS-00000100,BEN-008218,FPS-0338,2026-01,WHEAT,11,2026-01-13T16:00:00,SUCCESS,RCT973056
EPOS-00000101,BEN-008562,FPS-0338,2026-01,RICE,1,2026-01-13T15:00:00,SUCCESS,RCT262789
EPOS-00000102,BEN-008562,FPS-0338,2026-01,WHEAT,1,2026-01-19T16:00:00,SUCCESS,RCT664734
EPOS-00000103,BEN-005835,FPS-0338,2026-01,RICE,19,2026-01-12T10:00:00,SUCCESS,RCT660999
EPOS-00000104,BEN-005835,FPS-0338,2026-01,WHEAT,12,2026-01-14T12:00:00,SUCCESS,RCT705378
EPOS-00000105,BEN-000811,FPS-0338,2026-01,RICE,14,2026-01-24T17:00:00,SUCCESS,RCT560038
EPOS-00000106,BEN-000811,FPS-0338,2026-01,WHEAT,7,2026-01-12T15:00:00,SUCCESS,RCT902178
EPOS-00000107,BEN-003755,FPS-0338,2026-01,RICE,19,2026-01-13T14:00:00,SUCCESS,RCT640111
EPOS-00000108,BEN-003755,FPS-0338,2026-01,WHEAT,10,2026-01-17T13:00:00,SUCCESS,RCT202875
EPOS-00000109,BEN-006216,FPS-0338,2026-01,RICE,12,2026-01-21T09:00:00,SUCCESS,RCT692669
EPOS-00000110,BEN-006216,FPS-0338,2026-01,WHEAT,9,2026-01-20T10:00:00,CANCELLED,RCT149869
