inventory_id,location_type,location_id,commodity,opening_stock_kg,received_kg,dispatched_kg,distributed_kg,closing_stock_kg,cycle
INV-0000001,WAREHOUSE,WH-001,RICE,23226,5534,0,0,28760,2025-10
INV-0000002,WAREHOUSE,WH-001,WHEAT,17066,3695,0,0,20761,2025-10
INV-0000003,WAREHOUSE,WH-002,RICE,35689,6124,0,0,41813,2025-10
INV-0000004,WAREHOUSE,WH-002,WHEAT,40437,7585,0,0,48022,2025-10
INV-0000005,WAREHOUSE,WH-003,RICE,21133,3564,0,0,24697,2025-10
INV-0000006,WAREHOUSE,WH-003,WHEAT,16796,2051,0,0,18847,2025-10
INV-0000007,WAREHOUSE,WH-004,RICE,29147,6477,0,0,35624,2025-10
INV-0000008,WAREHOUSE,WH-004,WHEAT,22747,3319,0,0,26066,2025-10
INV-0000009,WAREHOUSE,WH-005,RICE,67972,12212,0,0,80184,2025-10
INV-0000010,WAREHOUSE,WH-005,WHEAT,46832,6465,0,0,53297,2025-10
INV-0000011,WAREHOUSE,WH-006,RICE,27208,6586,0,0,33794,2025-10
INV-0000012,WAREHOUSE,WH-006,WHEAT,25578,5820,0,0,31398,2025-10
INV-0000013,WAREHOUSE,WH-007,RICE,22554,5278,0,0,27832,2025-10
INV-0000014,WAREHOUSE,WH-007,WHEAT,18103,2583,0,0,20686,2025-10
INV-0000015,WAREHOUSE,WH-008,RICE,41265,11281,0,0,52546,2025-10
INV-0000016,WAREHOUSE,WH-008,WHEAT,35014,9847,0,0,44861,2025-10
INV-0000017,WAREHOUSE,WH-009,RICE,40325,4128,0,0,44453,2025-10
INV-0000018,WAREHOUSE,WH-009,WHEAT,33261,7232,0,0,40493,2025-10
INV-0000019,WAREHOUSE,WH-010,RICE,39063,5047,0,0,44110,2025-10
INV-0000020,WAREHOUSE,WH-010,WHEAT,35065,4640,0,0,39705,2025-10
INV-0000021,WAREHOUSE,WH-011,RICE,21682,2505,0,0,24187,2025-10
INV-0000022,WAREHOUSE,WH-011,WHEAT,16081,4265,0,0,20346,2025-10
INV-0000023,WAREHOUSE,WH-012,RICE,25875,4543,0,0,30418,2025-10
INV-0000024,WAREHOUSE,WH-012,WHEAT,27700,5726,0,0,33426,2025-10
INV-0000025,WAREHOUSE,WH-013,RICE,41449,9633,0,0,51082,2025-10
INV-0000026,WAREHOUSE,WH-013,WHEAT,30198,7192,0,0,37390,2025-10
INV-0000027,WAREHOUSE,WH-014,RICE,26602,5613,0,0,32215,2025-10
INV-0000028,WAREHOUSE,WH-014,WHEAT,21900,6115,0,0,28015,2025-10
INV-0000029,WAREHOUSE,WH-015,RICE,16100,4374,0,0,20474,2025-10
INV-0000030,WAREHOUSE,WH-015,WHEAT,17526,4139,0,0,21665,2025-10
INV-0000031,WAREHOUSE,WH-016,RICE,16950,2483,0,0,19433,2025-10
INV-0000032,WAREHOUSE,WH-016,WHEAT,14053,1819,0,0,15872,2025-10
INV-0000033,WAREHOUSE,WH-017,RICE,37002,7079,0,0,44081,2025-10
INV-0000034,WAREHOUSE,WH-017,WHEAT,30038,5696,0,0,35734,2025-10
INV-0000035,WAREHOUSE,WH-018,RICE,31406,6739,0,0,38145,2025-10
INV-0000036,WAREHOUSE,WH-018,WHEAT,23058,4941,0,0,27999,2025-10
INV-0000037,WAREHOUSE,WH-019,RICE,25015,6273,0,0,31288,2025-10
INV-0000038,WAREHOUSE,WH-019,WHEAT,23723,4271,0,0,27994,2025-10
INV-0000039,WAREHOUSE,WH-020,RICE,33770,7271,0,0,41041,2025-10
INV-0000040,WAREHOUSE,WH-020,WHEAT,33644,4285,0,0,37929,2025-10
INV-0000041,WAREHOUSE,WH-021,RICE,20462,2816,0,0,23278,2025-10
INV-0000042,WAREHOUSE,WH-021,WHEAT,17053,2027,0,0,19080,2025-10
INV-0000043,WAREHOUSE,WH-022,RICE,37486,3775,0,0,41261,2025-10
INV-0000044,WAREHOUSE,WH-022,WHEAT,29376,6211,0,0,35587,2025-10
INV-0000045,WAREHOUSE,WH-023,RICE,21429,4461,0,0,25890,2025-10
INV-0000046,WAREHOUSE,WH-023,WHEAT,17348,4334,0,0,21682,2025-10
INV-0000047,WAREHOUSE,WH-024,RICE,48409,9119,0,0,57528,2025-10
INV-0000048,WAREHOUSE,WH-024,WHEAT,45321,10704,0,0,56025,2025-10
INV-0000049,WAREHOUSE,WH-025,RICE,29040,3040,0,0,32080,2025-10
INV-0000050,WAREHOUSE,WH-025,WHEAT,22689,2737,0,0,25426,2025-10
INV-0000051,WAREHOUSE,WH-001,RICE,21342,5251,0,0,26593,2025-11
INV-0000052,WAREHOUSE,WH-001,WHEAT,15955,2351,0,0,18306,2025-11
INV-0000053,WAREHOUSE,WH-002,RICE,37631,4601,0,0,42232,2025-11
INV-0000054,WAREHOUSE,WH-002,WHEAT,35201,7876,0,0,43077,2025-11
INV-0000055,WAREHOUSE,WH-003,RICE,18429,4293,0,0,22722,2025-11
INV-0000056,WAREHOUSE,WH-003,WHEAT,18094,4442,0,0,22536,2025-11
INV-0000057,WAREHOUSE,WH-004,RICE,25254,4475,0,0,29729,2025-11
INV-0000058,WAREHOUSE,WH-004,WHEAT,23440,5208,0,0,28648,2025-11
INV-0000059,WAREHOUSE,WH-005,RICE,63824,9155,0,0,72979,2025-11
INV-0000060,WAREHOUSE,WH-005,WHEAT,51245,8695,0,0,59940,2025-11
INV-0000061,WAREHOUSE,WH-006,RICE,26707,7794,0,0,34501,2025-11
INV-0000062,WAREHOUSE,WH-006,WHEAT,29805,6921,0,0,36726,2025-11
INV-0000063,WAREHOUSE,WH-007,RICE,24535,5908,0,0,30443,2025-11
INV-0000064,WAREHOUSE,WH-007,WHEAT,17586,4397,0,0,21983,2025-11
INV-0000065,WAREHOUSE,WH-008,RICE,47487,7202,0,0,54689,2025-11
INV-0000066,WAREHOUSE,WH-008,WHEAT,36532,6628,0,0,43160,2025-11
INV-0000067,WAREHOUSE,WH-009,RICE,38148,10327,0,0,48475,2025-11
INV-0000068,WAREHOUSE,WH-009,WHEAT,29186,3891,0,0,33077,2025-11
INV-0000069,WAREHOUSE,WH-010,RICE,39088,9423,0,0,48511,2025-11
INV-0000070,WAREHOUSE,WH-010,WHEAT,33019,6173,0,0,39192,2025-11
INV-0000071,WAREHOUSE,WH-011,RICE,18552,5560,0,0,24112,2025-11
INV-0000072,WAREHOUSE,WH-011,WHEAT,16759,2566,0,0,19325,2025-11
INV-0000073,WAREHOUSE,WH-012,RICE,28359,5144,0,0,33503,2025-11
INV-0000074,WAREHOUSE,WH-012,WHEAT,25069,4761,0,0,29830,2025-11
INV-0000075,WAREHOUSE,WH-013,RICE,36209,4249,0,0,40458,2025-11
INV-0000076,WAREHOUSE,WH-013,WHEAT,26634,4356,0,0,30990,2025-11
INV-0000077,WAREHOUSE,WH-014,RICE,29575,4298,0,0,33873,2025-11
INV-0000078,WAREHOUSE,WH-014,WHEAT,24822,7259,0,0,32081,2025-11
INV-0000079,WAREHOUSE,WH-015,RICE,17512,3999,0,0,21511,2025-11
INV-0000080,WAREHOUSE,WH-015,WHEAT,18997,4962,0,0,23959,2025-11
INV-0000081,WAREHOUSE,WH-016,RICE,19122,4434,0,0,23556,2025-11
INV-0000082,WAREHOUSE,WH-016,WHEAT,15709,3166,0,0,18875,2025-11
INV-0000083,WAREHOUSE,WH-017,RICE,34679,5390,0,0,40069,2025-11
INV-0000084,WAREHOUSE,WH-017,WHEAT,29424,4348,0,0,33772,2025-11
INV-0000085,WAREHOUSE,WH-018,RICE,29216,8651,0,0,37867,2025-11
INV-0000086,WAREHOUSE,WH-018,WHEAT,22362,5676,0,0,28038,2025-11
INV-0000087,WAREHOUSE,WH-019,RICE,29041,6345,0,0,35386,2025-11
INV-0000088,WAREHOUSE,WH-019,WHEAT,22338,4712,0,0,27050,2025-11
INV-0000089,WAREHOUSE,WH-020,RICE,36536,4970,0,0,41506,2025-11
INV-0000090,WAREHOUSE,WH-020,WHEAT,33565,5931,0,0,39496,2025-11
INV-0000091,WAREHOUSE,WH-021,RICE,21769,5445,0,0,27214,2025-11
INV-0000092,WAREHOUSE,WH-021,WHEAT,14197,2806,0,0,17003,2025-11
INV-0000093,WAREHOUSE,WH-022,RICE,35187,10508,0,0,45695,2025-11
INV-0000094,WAREHOUSE,WH-022,WHEAT,32413,8112,0,0,40525,2025-11
INV-0000095,WAREHOUSE,WH-023,RICE,20634,3942,0,0,24576,2025-11
INV-0000096,WAREHOUSE,WH-023,WHEAT,17577,4805,0,0,22382,2025-11
INV-0000097,WAREHOUSE,WH-024,RICE,50872,11899,0,0,62771,2025-11
INV-0000098,WAREHOUSE,WH-024,WHEAT,45195,11763,0,0,56958,2025-11
INV-0000099,WAREHOUSE,WH-025,RICE,31023,3935,0,0,34958,2025-11
INV-0000100,WAREHOUSE,WH-025,WHEAT,20027,2462,0,0,22489,2025-11
INV-0000101,WAREHOUSE,WH-001,RICE,20042,3524,0,0,23566,2025-12
INV-0000102,WAREHOUSE,WH-001,WHEAT,17844,2601,0,0,20445,2025-12
INV-0000103,WAREHOUSE,WH-002,RICE,35172,9471,0,0,44643,2025-12
INV-0000104,WAREHOUSE,WH-002,WHEAT,37261,10900,0,0,48161,2025-12
