route_id,manifest_id,vehicle_id,warehouse_id,stop_sequence,fps_id,latitude,longitude,distance_from_previous_km,eta_minutes,route_status
RT-0000001,MAN-000001,VEH-0101,WH-001,1,FPS-0401,13.154594,77.580855,23.79,52,PLANNED
RT-0000002,MAN-000001,VEH-0101,WH-001,1,FPS-0401,13.154594,77.580855,23.79,52,PLANNED
RT-0000003,MAN-000001,VEH-0101,WH-001,2,FPS-0576,13.395476,77.847148,39.34,86,PLANNED
RT-0000004,MAN-000001,VEH-0101,WH-001,2,FPS-0576,13.395476,77.847148,39.34,86,PLANNED
RT-0000005,MAN-000001,VEH-0101,WH-001,3,FPS-0026,13.227358,77.885902,19.16,42,PLANNED
RT-0000006,MAN-000001,VEH-0101,WH-001,3,FPS-0026,13.227358,77.885902,19.16,42,PLANNED
RT-0000007,MAN-000001,VEH-0101,WH-001,4,FPS-0476,13.29692,77.78069,13.77,30,PLANNED
RT-0000008,MAN-000001,VEH-0101,WH-001,4,FPS-0476,13.29692,77.78069,13.77,30,PLANNED
RT-0000009,MAN-000001,VEH-0101,WH-001,5,FPS-0501,13.136688,77.601702,26.32,57,PLANNED
RT-0000010,MAN-000001,VEH-0101,WH-001,5,FPS-0501,13.136688,77.601702,26.32,57,PLANNED
RT-0000011,MAN-000001,VEH-0101,WH-001,6,FPS-0376,13.113907,77.735482,14.71,32,PLANNED
RT-0000012,MAN-000001,VEH-0101,WH-001,6,FPS-0376,13.113907,77.735482,14.71,32,PLANNED
RT-0000013,MAN-000002,VEH-0101,WH-001,1,FPS-0526,13.176326,77.907343,19.59,43,PLANNED
RT-0000014,MAN-000002,VEH-0101,WH-001,1,FPS-0526,13.176326,77.907343,19.59,43,PLANNED
RT-0000015,MAN-000002,VEH-0101,WH-001,2,FPS-0251,13.457837,77.732198,36.59,80,PLANNED
RT-0000016,MAN-000002,VEH-0101,WH-001,2,FPS-0251,13.457837,77.732198,36.59,80,PLANNED
RT-0000017,MAN-000002,VEH-0101,WH-001,3,FPS-0301,13.291689,77.785895,19.37,42,PLANNED
RT-0000018,MAN-000002,VEH-0101,WH-001,3,FPS-0301,13.291689,77.785895,19.37,42,PLANNED
RT-0000019,MAN-000002,VEH-0101,WH-001,4,FPS-0226,13.234872,77.861664,10.35,22,PLANNED
RT-0000020,MAN-000002,VEH-0101,WH-001,4,FPS-0226,13.234872,77.861664,10.35,22,PLANNED
RT-0000021,MAN-000002,VEH-0101,WH-001,5,FPS-0551,13.129951,77.642695,26.42,58,PLANNED
RT-0000022,MAN-000002,VEH-0101,WH-001,5,FPS-0551,13.129951,77.642695,26.42,58,PLANNED
RT-0000023,MAN-000002,VEH-0101,WH-001,6,FPS-0051,13.299143,77.915673,35.03,77,PLANNED
RT-0000024,MAN-000002,VEH-0101,WH-001,6,FPS-0051,13.299143,77.915673,35.03,77,PLANNED
RT-0000025,MAN-000003,VEH-0101,WH-001,1,FPS-0126,13.128155,77.587492,25.07,55,PLANNED
RT-0000026,MAN-000003,VEH-0101,WH-001,1,FPS-0126,13.128155,77.587492,25.07,55,PLANNED
RT-0000027,MAN-000003,VEH-0101,WH-001,2,FPS-0201,13.408913,77.80074,38.82,85,PLANNED
RT-0000028,MAN-000003,VEH-0101,WH-001,2,FPS-0201,13.408913,77.80074,38.82,85,PLANNED
RT-0000029,MAN-000003,VEH-0101,WH-001,3,FPS-0426,13.413368,77.820393,2.18,4,PLANNED
RT-0000030,MAN-000003,VEH-0101,WH-001,3,FPS-0426,13.413368,77.820393,2.18,4,PLANNED
RT-0000031,MAN-000003,VEH-0101,WH-001,4,FPS-0151,13.151598,77.764509,29.73,65,PLANNED
RT-0000032,MAN-000003,VEH-0101,WH-001,4,FPS-0151,13.151598,77.764509,29.73,65,PLANNED
RT-0000033,MAN-000003,VEH-0101,WH-001,5,FPS-0101,13.29748,77.778821,16.3,35,PLANNED
RT-0000034,MAN-000003,VEH-0101,WH-001,5,FPS-0101,13.29748,77.778821,16.3,35,PLANNED
RT-0000035,MAN-000003,VEH-0101,WH-001,6,FPS-0276,13.102801,77.861035,23.41,51,PLANNED
RT-0000036,MAN-000003,VEH-0101,WH-001,6,FPS-0276,13.102801,77.861035,23.41,51,PLANNED
RT-0000037,MAN-000004,VEH-0051,WH-001,1,FPS-0351,13.145037,77.928976,23.57,51,DRAFT
RT-0000038,MAN-000004,VEH-0051,WH-001,1,FPS-0351,13.145037,77.928976,23.57,51,DRAFT
RT-0000039,MAN-000004,VEH-0051,WH-001,2,FPS-0076,13.420928,77.733705,37.25,81,DRAFT
RT-0000040,MAN-000004,VEH-0051,WH-001,2,FPS-0076,13.420928,77.733705,37.25,81,DRAFT
RT-0000041,MAN-000004,VEH-0051,WH-001,3,FPS-0176,13.310423,77.852706,17.8,39,DRAFT
RT-0000042,MAN-000004,VEH-0051,WH-001,3,FPS-0176,13.310423,77.852706,17.8,39,DRAFT
RT-0000043,MAN-000004,VEH-0051,WH-001,4,FPS-0001,13.324897,77.887401,4.08,8,DRAFT
RT-0000044,MAN-000004,VEH-0051,WH-001,4,FPS-0001,13.324897,77.887401,4.08,8,DRAFT
RT-0000045,MAN-000004,VEH-0051,WH-001,5,FPS-0326,13.17759,77.86355,16.58,36,DRAFT
RT-0000046,MAN-000004,VEH-0051,WH-001,5,FPS-0326,13.17759,77.86355,16.58,36,DRAFT
RT-0000047,MAN-000004,VEH-0051,WH-001,6,FPS-0451,13.125661,77.624954,26.47,58,DRAFT
RT-0000048,MAN-000004,VEH-0051,WH-001,6,FPS-0451,13.125661,77.624954,26.47,58,DRAFT
RT-0000049,MAN-000005,VEH-0002,WH-002,1,FPS-0052,11.951184,76.620292,17.91,39,PLANNED
RT-0000050,MAN-000005,VEH-0002,WH-002,1,FPS-0052,11.951184,76.620292,17.91,39,PLANNED
RT-0000051,MAN-000005,VEH-0002,WH-002,2,FPS-0527,12.222885,76.501199,32.87,72,PLANNED
RT-0000052,MAN-000005,VEH-0002,WH-002,2,FPS-0527,12.222885,76.501199,32.87,72,PLANNED
RT-0000053,MAN-000005,VEH-0002,WH-002,3,FPS-0202,12.026111,76.590971,23.96,52,PLANNED
RT-0000054,MAN-000005,VEH-0002,WH-002,3,FPS-0202,12.026111,76.590971,23.96,52,PLANNED
RT-0000055,MAN-000005,VEH-0002,WH-002,4,FPS-0502,12.244607,76.508871,25.88,56,PLANNED
RT-0000056,MAN-000005,VEH-0002,WH-002,4,FPS-0502,12.244607,76.508871,25.88,56,PLANNED
RT-0000057,MAN-000005,VEH-0002,WH-002,5,FPS-0177,12.261356,76.62791,13.07,28,PLANNED
RT-0000058,MAN-000005,VEH-0002,WH-002,5,FPS-0177,12.261356,76.62791,13.07,28,PLANNED
RT-0000059,MAN-000005,VEH-0002,WH-002,6,FPS-0327,12.067484,76.684396,22.41,49,PLANNED
RT-0000060,MAN-000005,VEH-0002,WH-002,6,FPS-0327,12.067484,76.684396,22.41,49,PLANNED
RT-0000061,MAN-000006,VEH-0077,WH-002,1,FPS-0427,12.167961,76.722494,13.75,30,PLANNED
RT-0000062,MAN-000006,VEH-0077,WH-002,1,FPS-0427,12.167961,76.722494,13.75,30,PLANNED
RT-0000063,MAN-000006,VEH-0077,WH-002,2,FPS-0577,12.027927,76.714024,15.6,34,PLANNED
RT-0000064,MAN-000006,VEH-0077,WH-002,2,FPS-0577,12.027927,76.714024,15.6,34,PLANNED
RT-0000065,MAN-000006,VEH-0077,WH-002,3,FPS-0152,12.212922,76.468282,33.72,74,PLANNED
