telemetry_id,vehicle_id,timestamp,latitude,longitude,speed_kmph,status,manifest_id
TEL-00000001,VEH-0101,2026-01-05T12:00:00,13.278607,77.759931,0,IDLE,MAN-000001
TEL-00000002,VEH-0101,2026-01-05T12:17:00,13.235975,77.699248,31,MOVING,MAN-000001
TEL-00000003,VEH-0101,2026-01-05T12:34:00,13.194107,77.639865,21,MOVING,MAN-000001
TEL-00000004,VEH-0101,2026-01-05T12:52:00,13.154594,77.580855,0,STOPPED,MAN-000001
TEL-00000005,VEH-0101,2026-01-05T13:11:00,13.154866,77.581535,30,MOVING,MAN-000001
TEL-00000006,VEH-0101,2026-01-05T13:26:00,13.15473,77.580067,29,MOVING,MAN-000001
TEL-00000007,VEH-0101,2026-01-05T13:49:00,13.154594,77.580855,0,STOPPED,MAN-000001
TEL-00000008,VEH-0101,2026-01-05T14:21:00,13.235183,77.670851,26,MOVING,MAN-000001
TEL-00000009,VEH-0101,2026-01-05T14:46:00,13.316451,77.757276,26,MOVING,MAN-000001
TEL-00000010,VEH-0101,2026-01-05T15:20:00,13.395476,77.847148,0,STOPPED,MAN-000001
TEL-00000011,VEH-0101,2026-01-05T15:48:00,13.393937,77.847124,25,MOVING,MAN-000001
TEL-00000012,VEH-0101,2026-01-05T16:22:00,13.394155,77.848399,32,MOVING,MAN-000001
TEL-00000013,VEH-0101,2026-01-05T16:51:00,13.395476,77.847148,0,STOPPED,MAN-000001
TEL-00000014,VEH-0101,2026-01-05T17:07:00,13.340786,77.861553,36,MOVING,MAN-000001
TEL-00000015,VEH-0101,2026-01-05T17:23:00,13.284898,77.871983,36,MOVING,MAN-000001
TEL-00000016,VEH-0101,2026-01-05T17:35:00,13.227358,77.885902,0,STOPPED,MAN-000001
TEL-00000017,VEH-0101,2026-01-05T17:51:00,13.229178,77.885093,21,MOVING,MAN-000001
TEL-00000018,VEH-0101,2026-01-05T18:05:00,13.227508,77.88722,24,MOVING,MAN-000001
TEL-00000019,VEH-0101,2026-01-05T18:22:00,13.227358,77.885902,0,STOPPED,MAN-000001
TEL-00000020,VEH-0101,2026-01-05T18:36:00,13.248872,77.849941,37,MOVING,MAN-000001
TEL-00000021,VEH-0101,2026-01-05T18:44:00,13.274184,77.815811,26,MOVING,MAN-000001
TEL-00000022,VEH-0101,2026-01-05T18:54:00,13.29692,77.78069,0,STOPPED,MAN-000001
TEL-00000023,VEH-0101,2026-01-05T19:04:00,13.296775,77.782565,28,MOVING,MAN-000001
TEL-00000024,VEH-0101,2026-01-05T19:19:00,13.297439,77.778877,19,MOVING,MAN-000001
TEL-00000025,VEH-0101,2026-01-05T19:28:00,13.29692,77.78069,0,STOPPED,MAN-000001
TEL-00000026,VEH-0101,2026-01-05T19:49:00,13.242364,77.721408,21,MOVING,MAN-000001
TEL-00000027,VEH-0101,2026-01-05T20:11:00,13.189909,77.66053,22,MOVING,MAN-000001
TEL-00000028,VEH-0101,2026-01-05T20:29:00,13.136688,77.601702,0,STOPPED,MAN-000001
TEL-00000029,VEH-0101,2026-01-05T20:48:00,13.138222,77.602833,29,MOVING,MAN-000001
TEL-00000030,VEH-0101,2026-01-05T21:07:00,13.136586,77.601121,37,MOVING,MAN-000001
TEL-00000031,VEH-0101,2026-01-05T21:28:00,13.136688,77.601702,0,STOPPED,MAN-000001
TEL-00000032,VEH-0101,2026-01-05T21:42:00,13.128045,77.647177,24,MOVING,MAN-000001
TEL-00000033,VEH-0101,2026-01-05T21:49:00,13.123435,77.691627,22,MOVING,MAN-000001
TEL-00000034,VEH-0101,2026-01-05T22:02:00,13.113907,77.735482,0,STOPPED,MAN-000001
TEL-00000035,VEH-0101,2026-01-05T22:15:00,13.112771,77.735193,28,MOVING,MAN-000001
TEL-00000036,VEH-0101,2026-01-05T22:26:00,13.115882,77.735213,34,MOVING,MAN-000001
TEL-00000037,VEH-0101,2026-01-05T22:35:00,13.113907,77.735482,0,STOPPED,MAN-000001
TEL-00000038,VEH-0101,2026-01-05T22:45:00,13.113907,77.735482,0,DELIVERED,MAN-000001
TEL-00000039,VEH-0101,2026-01-05T12:00:00,13.278607,77.759931,0,IDLE,MAN-000002
TEL-00000040,VEH-0101,2026-01-05T12:16:00,13.245362,77.807277,33,MOVING,MAN-000002
TEL-00000041,VEH-0101,2026-01-05T12:29:00,13.211914,77.856948,27,MOVING,MAN-000002
TEL-00000042,VEH-0101,2026-01-05T12:48:00,13.176326,77.907343,0,STOPPED,MAN-000002
TEL-00000043,VEH-0101,2026-01-05T13:05:00,13.176403,77.907439,21,MOVING,MAN-000002
TEL-00000044,VEH-0101,2026-01-05T13:19:00,13.175169,77.906646,19,MOVING,MAN-000002
TEL-00000045,VEH-0101,2026-01-05T13:33:00,13.176326,77.907343,0,STOPPED,MAN-000002
TEL-00000046,VEH-0101,2026-01-05T14:02:00,13.269633,77.849454,18,MOVING,MAN-000002
TEL-00000047,VEH-0101,2026-01-05T14:30:00,13.364944,77.790149,29,MOVING,MAN-000002
TEL-00000048,VEH-0101,2026-01-05T14:55:00,13.457837,77.732198,0,STOPPED,MAN-000002
TEL-00000049,VEH-0101,2026-01-05T15:24:00,13.456027,77.73238,22,MOVING,MAN-000002
TEL-00000050,VEH-0101,2026-01-05T15:52:00,13.45598,77.732533,35,MOVING,MAN-000002
TEL-00000051,VEH-0101,2026-01-05T16:18:00,13.457837,77.732198,0,STOPPED,MAN-000002
TEL-00000052,VEH-0101,2026-01-05T16:33:00,13.401653,77.751814,37,MOVING,MAN-000002
TEL-00000053,VEH-0101,2026-01-05T16:47:00,13.348741,77.768203,36,MOVING,MAN-000002
TEL-00000054,VEH-0101,2026-01-05T17:04:00,13.291689,77.785895,0,STOPPED,MAN-000002
TEL-00000055,VEH-0101,2026-01-05T17:19:00,13.29066,77.785244,35,MOVING,MAN-000002
TEL-00000056,VEH-0101,2026-01-05T17:32:00,13.291703,77.787592,22,MOVING,MAN-000002
TEL-00000057,VEH-0101,2026-01-05T17:50:00,13.291689,77.785895,0,STOPPED,MAN-000002
TEL-00000058,VEH-0101,2026-01-05T17:59:00,13.274177,77.810654,24,MOVING,MAN-000002
TEL-00000059,VEH-0101,2026-01-05T18:06:00,13.253082,77.838356,22,MOVING,MAN-000002
TEL-00000060,VEH-0101,2026-01-05T18:13:00,13.234872,77.861664,0,STOPPED,MAN-000002
TEL-00000061,VEH-0101,2026-01-05T18:22:00,13.233562,77.862163,22,MOVING,MAN-000002
TEL-00000062,VEH-0101,2026-01-05T18:30:00,13.236233,77.861111,34,MOVING,MAN-000002
TEL-00000063,VEH-0101,2026-01-05T18:38:00,13.234872,77.861664,0,STOPPED,MAN-000002
TEL-00000064,VEH-0101,2026-01-05T18:58:00,13.198296,77.789087,18,MOVING,MAN-000002
TEL-00000065,VEH-0101,2026-01-05T19:20:00,13.165146,77.716573,32,MOVING,MAN-000002
TEL-00000066,VEH-0101,2026-01-05T19:39:00,13.129951,77.642695,0,STOPPED,MAN-000002
TEL-00000067,VEH-0101,2026-01-05T20:02:00,13.13135,77.642283,21,MOVING,MAN-000002
TEL-00000068,VEH-0101,2026-01-05T20:22:00,13.131418,77.641743,23,MOVING,MAN-000002
TEL-00000069,VEH-0101,2026-01-05T20:41:00,13.129951,77.642695,0,STOPPED,MAN-000002
TEL-00000070,VEH-0101,2026-01-05T21:07:00,13.188291,77.73241,31,MOVING,MAN-000002
TEL-00000071,VEH-0101,2026-01-05T21:37:00,13.241903,77.823292,32,MOVING,MAN-000002
TEL-00000072,VEH-0101,2026-01-05T22:03:00,13.299143,77.915673,0,STOPPED,MAN-000002
