exception_id,cycle,entity_type,entity_id,rule_code,severity,reason,detected_at,assigned_to,status,resolution,resolved_at
EXC-000001,2026-01,MANIFEST,MAN-000004,ROUTE_INFEASIBLE,HIGH,ROUTE_INFEASIBLE violation for manifest MAN-000004,2026-01-05T10:00:00,OFF-00001,ACTION_REQUIRED,,
EXC-000002,2026-01,MANIFEST,MAN-000007,FPS_CAPACITY,HIGH,FPS capacity exceeded: demand aggregated exceeds FPS capacity for one or more FPS in manifest,2026-01-05T10:00:00,OFF-00001,OPEN,,
EXC-000003,2026-01,MANIFEST,MAN-000009,VEHICLE_CAPACITY,HIGH,VEHICLE_CAPACITY violation for manifest MAN-000009,2026-01-05T10:00:00,OFF-00001,ACKNOWLEDGED,,
EXC-000004,2026-01,MANIFEST,MAN-000012,WAREHOUSE_STOCK,HIGH,Warehouse stock insufficient for requested allocation,2026-01-05T10:00:00,OFF-00001,OPEN,,
EXC-000005,2026-01,MANIFEST,MAN-000013,VEHICLE_CAPACITY,HIGH,VEHICLE_CAPACITY violation for manifest MAN-000013,2026-01-05T10:00:00,OFF-00001,ACTION_REQUIRED,,
EXC-000006,2026-01,MANIFEST,MAN-000014,ROUTE_INFEASIBLE,HIGH,ROUTE_INFEASIBLE violation for manifest MAN-000014,2026-01-05T10:00:00,OFF-00001,ACTION_REQUIRED,,
EXC-000007,2026-01,MANIFEST,MAN-000015,WAREHOUSE_STOCK,HIGH,WAREHOUSE_STOCK violation for manifest MAN-000015,2026-01-05T10:00:00,OFF-00001,ACTION_REQUIRED,,
EXC-000008,2026-01,MANIFEST,MAN-000018,VEHICLE_CAPACITY,HIGH,Vehicle capacity insufficient for manifest total,2026-01-05T10:00:00,OFF-00001,ACTION_REQUIRED,,
EXC-000009,2026-01,MANIFEST,MAN-000019,WAREHOUSE_STOCK,HIGH,WAREHOUSE_STOCK violation for manifest MAN-000019,2026-01-05T10:00:00,OFF-00001,ACTION_REQUIRED,,
EXC-000010,2026-01,MANIFEST,MAN-000020,FPS_CAPACITY,HIGH,FPS_CAPACITY violation for manifest MAN-000020,2026-01-05T10:00:00,OFF-00001,ACKNOWLEDGED,,
