grievance_id,beneficiary_id,fps_id,category,description,created_at,status,resolution,resolved_at
GRV-000001,BEN-002812,FPS-0327,TRANSACTION_FAILURE,TRANSACTION_FAILURE reported for RC2023102811 at FPS-0327,2026-01-22T16:00:00,RESOLVED,Resolved: TRANSACTION_FAILURE verified and adjusted,2026-01-27T16:00:00
GRV-000002,BEN-004903,FPS-0316,OTHER,OTHER reported for RC2023104902 at FPS-0316,2026-02-11T01:00:00,RESOLVED,Resolved: OTHER verified and adjusted,2026-02-17T01:00:00
GRV-000003,BEN-005916,FPS-0140,OTHER,OTHER reported for RC2025105915 at FPS-0140,2026-02-15T14:00:00,IN_REVIEW,,
GRV-000004,BEN-003562,FPS-0458,SHORT_DELIVERY,SHORT_DELIVERY reported for RC2023103561 at FPS-0458,2026-01-28T18:00:00,RESOLVED,Resolved: SHORT_DELIVERY verified and adjusted,2026-01-29T18:00:00
GRV-000005,BEN-006154,FPS-0126,TRANSACTION_FAILURE,TRANSACTION_FAILURE reported for RC2023106153 at FPS-0126,2026-03-03T17:00:00,IN_REVIEW,,
GRV-000006,BEN-005137,FPS-0492,WRONG_QUANTITY,WRONG_QUANTITY reported for RC2023105136 at FPS-0492,2026-01-13T23:00:00,IN_REVIEW,,
GRV-000007,BEN-004402,FPS-0425,FPS_CLOSED,FPS_CLOSED reported for RC2023104401 at FPS-0425,2026-02-11T12:00:00,OPEN,,
GRV-000008,BEN-006568,FPS-0318,FPS_CLOSED,FPS_CLOSED reported for RC2023106567 at FPS-0318,2026-02-27T15:00:00,IN_REVIEW,,
GRV-000009,BEN-006268,FPS-0421,FPS_CLOSED,FPS_CLOSED reported for RC2023106267 at FPS-0421,2026-03-21T05:00:00,RESOLVED,Resolved: FPS_CLOSED verified and adjusted,2026-03-22T05:00:00
GRV-000010,BEN-008488,FPS-0410,FPS_CLOSED,FPS_CLOSED reported for RC2023108487 at FPS-0410,2026-01-21T00:00:00,IN_REVIEW,,
GRV-000011,BEN-005253,FPS-0004,TRANSACTION_FAILURE,TRANSACTION_FAILURE reported for RC2025105252 at FPS-0004,2026-01-16T10:00:00,RESOLVED,Resolved: TRANSACTION_FAILURE verified and adjusted,2026-01-22T10:00:00
