inspection_id,fps_id,inspector_id,inspection_date,stock_expected_kg,stock_observed_kg,stock_variance_kg,weighing_accuracy,moisture_status,shop_condition,stock_register_verified,epos_verified,finding,status,evidence_reference,sealed_hash
INSP-000001,FPS-0535,OFF-00007,2026-01-29,1939,1907,-32,0.98,LOW,GOOD,YES,YES,NORMAL,SUBMITTED,EVID-1831,5ff322a77d15039ab4446a449319c833919fb7d2d6d62f5716273175bace6f7f
INSP-000002,FPS-0115,OFF-00051,2026-03-09,1650,1625,-25,0.98,NORMAL,POOR,NO,YES,NORMAL,SEALED,EVID-5973,a5f83787cf32276959b9b2ef4e23aee2eb7027fa676298c507e0cb9e6cdbd611
INSP-000003,FPS-0227,OFF-00043,2026-03-14,1340,1322,-18,1.0,NORMAL,AVERAGE,YES,YES,NORMAL,SEALED,EVID-9982,9bd1677e2b29d0a3d412787937912cfd3d6d7879d9be92a0f346fe5569d68d5e
INSP-000004,FPS-0508,OFF-00010,2026-01-23,2013,2015,2,0.98,NORMAL,AVERAGE,YES,YES,NORMAL,DRAFT,EVID-7199,50673831645281993560e2c71ff63920e2e97f328d25cf1aa4495b2569f55295
INSP-000005,FPS-0145,OFF-00021,2026-01-13,1730,1688,-42,1.0,NORMAL,GOOD,YES,YES,NORMAL,SEALED,EVID-7761,ef06eb46c4fa3187c017d5acbe3e155656e3e8aa6e6efae625805643417ad353
INSP-000006,FPS-0502,OFF-00028,2026-01-13,1257,1252,-5,0.99,HIGH,POOR,NO,YES,NORMAL,SUBMITTED,EVID-6703,8ffa2bc8c7224645ed1bdebcf05467a2aa908466f8443d39b9cc913703344ad7
INSP-000007,FPS-0577,OFF-00051,2026-01-18,1557,1561,4,0.98,NORMAL,POOR,NO,NO,NORMAL,SEALED,EVID-8682,f12ed31157cd4379d56d4346d67fd4967141891551680df674b2e97b4f4f3538
INSP-000008,FPS-0249,OFF-00011,2026-03-21,1091,1059,-32,0.97,LOW,GOOD,YES,YES,NORMAL,SEALED,EVID-2282,9890b5a4e40479e2d7061678d8fa1eb30cebb1e9f2fe8d3e43ffb75e9c6b8cb7
INSP-000009,FPS-0475,OFF-00010,2026-01-10,1882,1825,-57,0.99,NORMAL,AVERAGE,YES,YES,NORMAL,SEALED,EVID-9515,694b16fe863e5960f3df1f0b84b08f0c55b328b430067a460dd7111352b2e858
INSP-000010,FPS-0085,OFF-00049,2026-01-24,1215,1238,23,1.0,NORMAL,GOOD,YES,YES,NORMAL,SEALED,EVID-2800,4436b2e86924a2f3c084d47003ea0508cc14f6c2ef9e8032d07561ab83340009
INSP-000011,FPS-0135,OFF-00058,2026-01-14,1574,1543,-31,0.98,NORMAL,POOR,NO,NO,NORMAL,SUBMITTED,EVID-3137,28ac7545b8f179f853f55f8deaec8176053f84d5137f75081fc34e61d85c2c98
INSP-000012,FPS-0483,OFF-00044,2026-02-08,914,912,-2,0.99,HIGH,GOOD,NO,NO,NORMAL,SEALED,EVID-9111,b58f433c1fe074fecf43135c2579df7781d45d3dc12c1eca96746ae55fc448ce
INSP-000013,FPS-0024,OFF-00042,2026-02-12,1604,1581,-23,0.99,LOW,POOR,NO,NO,NORMAL,SUBMITTED,EVID-2444,c1617602152be87b08fcf4c9985503caecb074b1c35b809881f000780dd22281
INSP-000014,FPS-0018,OFF-00034,2026-01-08,1118,1112,-6,1.0,NORMAL,POOR,NO,YES,NORMAL,SEALED,EVID-2158,08972350992b2c19cac801719443060be2c5521c5b78ce514dc1f92bd63abdc3
INSP-000015,FPS-0147,OFF-00045,2026-03-01,1355,1384,29,1.0,NORMAL,AVERAGE,NO,NO,NORMAL,SEALED,EVID-6511,397809d12448bebbabcca17d9c93e2a41d5cc112ed8c1e415155bdd7e60969a9
INSP-000016,FPS-0153,OFF-00025,2026-02-15,1060,1040,-20,0.98,NORMAL,GOOD,NO,YES,NORMAL,SEALED,EVID-9432,eb4086179e1a2959c6741c2d778f86e64e997cf5f8a5a34f37c321e0508d4d32
INSP-000017,FPS-0031,OFF-00048,2026-02-01,2090,2057,-33,1.0,HIGH,AVERAGE,NO,YES,NORMAL,SUBMITTED,EVID-5085,3541c85679741a059020d71c9f7edaa06920d331214fa4b63708cce1dbb7cd0a
INSP-000018,FPS-0275,OFF-00009,2026-02-08,1513,1547,34,0.99,LOW,POOR,NO,YES,NORMAL,SEALED,EVID-8240,f2b42338b21197531b10ad1c66300585e4445c02729db1d41d45eb853fcd9080
