date,district,event_name,event_type,impact_factor
2025-05-16,BENGALURU_URBAN,Makar Sankranti,FESTIVAL,0.08
2025-07-10,BENGALURU_URBAN,Republic Day,PUBLIC_HOLIDAY,-0.05
2025-04-03,BENGALURU_URBAN,Ugadi,FESTIVAL,0.12
2025-08-05,BENGALURU_URBAN,Labour Day,PUBLIC_HOLIDAY,0.0
2025-11-28,BENGALURU_URBAN,Karnataka Rajyotsava,LOCAL_EVENT,0.05
2026-04-20,BENGALURU_URBAN,Consequuntur Mela,LOCAL_EVENT,0.01
2026-02-27,BENGALURU_URBAN,Enim Mela,LOCAL_EVENT,0.04
2026-02-10,BENGALURU_URBAN,Deserunt Mela,LOCAL_EVENT,-0.03
2025-01-01,MYSURU,Makar Sankranti,FESTIVAL,0.08
2025-06-15,MYSURU,Republic Day,PUBLIC_HOLIDAY,-0.05
2025-09-09,MYSURU,Ugadi,FESTIVAL,0.12
2025-07-03,MYSURU,Labour Day,PUBLIC_HOLIDAY,0.0
2025-10-18,MYSURU,Karnataka Rajyotsava,LOCAL_EVENT,0.05
2026-05-07,MYSURU,Fugit Mela,LOCAL_EVENT,0.03
2026-03-22,MYSURU,Architecto Mela,LOCAL_EVENT,0.08
2026-02-11,MYSURU,Officiis Mela,LOCAL_EVENT,-0.01
2025-07-21,TUMAKURU,Makar Sankranti,FESTIVAL,0.08
2025-08-06,TUMAKURU,Republic Day,PUBLIC_HOLIDAY,-0.05
2025-08-07,TUMAKURU,Ugadi,FESTIVAL,0.12
2025-08-08,TUMAKURU,Labour Day,PUBLIC_HOLIDAY,0.0
2025-01-18,TUMAKURU,Karnataka Rajyotsava,LOCAL_EVENT,0.05
2026-04-25,TUMAKURU,Ducimus Mela,LOCAL_EVENT,0.02
2026-02-20,TUMAKURU,Voluptate Mela,LOCAL_EVENT,-0.0
2026-05-22,TUMAKURU,Et Mela,LOCAL_EVENT,-0.02
2025-04-04,MANDYA,Makar Sankranti,FESTIVAL,0.08
2025-09-10,MANDYA,Republic Day,PUBLIC_HOLIDAY,-0.05
2025-01-25,MANDYA,Ugadi,FESTIVAL,0.12
2025-11-08,MANDYA,Labour Day,PUBLIC_HOLIDAY,0.0
2025-07-24,MANDYA,Karnataka Rajyotsava,LOCAL_EVENT,0.05
2026-06-04,MANDYA,Voluptatum Mela,LOCAL_EVENT,0.06
2026-02-06,MANDYA,Sequi Mela,LOCAL_EVENT,-0.01
2026-02-09,MANDYA,Praesentium Mela,LOCAL_EVENT,0.09
2025-08-23,HASSAN,Makar Sankranti,FESTIVAL,0.08
2025-10-24,HASSAN,Republic Day,PUBLIC_HOLIDAY,-0.05
2025-08-27,HASSAN,Ugadi,FESTIVAL,0.12
2025-01-26,HASSAN,Labour Day,PUBLIC_HOLIDAY,0.0
2025-05-02,HASSAN,Karnataka Rajyotsava,LOCAL_EVENT,0.05
2026-05-24,HASSAN,Ab Mela,LOCAL_EVENT,0.1
2026-03-08,HASSAN,Magni Mela,LOCAL_EVENT,0.01
2026-03-04,HASSAN,Consectetur Mela,LOCAL_EVENT,0.02
2025-08-25,SHIVAMOGGA,Makar Sankranti,FESTIVAL,0.08
2025-04-08,SHIVAMOGGA,Republic Day,PUBLIC_HOLIDAY,-0.05
2025-01-19,SHIVAMOGGA,Ugadi,FESTIVAL,0.12
2025-08-25,SHIVAMOGGA,Labour Day,PUBLIC_HOLIDAY,0.0
2025-10-22,SHIVAMOGGA,Karnataka Rajyotsava,LOCAL_EVENT,0.05
2026-06-06,SHIVAMOGGA,Eaque Mela,LOCAL_EVENT,0.07
2026-03-28,SHIVAMOGGA,Porro Mela,LOCAL_EVENT,-0.0
2026-02-10,SHIVAMOGGA,Libero Mela,LOCAL_EVENT,0.09
