fps_id,cycle,commodity,stockout_flag,stockout_days,shortage_kg
FPS-0535,2025-01,RICE,1,2,367
FPS-0535,2025-04,RICE,1,5,536
FPS-0202,2025-04,RICE,1,3,460
FPS-0202,2025-05,RICE,1,6,554
FPS-0202,2025-05,WHEAT,1,4,336
FPS-0278,2025-07,RICE,1,6,189
FPS-0278,2025-07,WHEAT,1,1,525
FPS-0278,2025-06,WHEAT,1,2,368
FPS-0278,2025-12,RICE,1,3,538
FPS-0278,2025-12,WHEAT,1,4,574
FPS-0533,2025-10,RICE,1,3,378
FPS-0533,2025-05,RICE,1,3,452
FPS-0533,2025-05,WHEAT,1,3,311
FPS-0581,2025-02,RICE,1,7,194
FPS-0581,2025-02,WHEAT,1,6,431
FPS-0078,2025-05,WHEAT,1,7,402
FPS-0078,2025-04,RICE,1,5,543
FPS-0078,2025-08,RICE,1,4,431
FPS-0375,2025-09,RICE,1,5,456
FPS-0220,2025-09,WHEAT,1,3,272
FPS-0454,2025-06,RICE,1,1,279
FPS-0454,2025-01,RICE,1,3,587
FPS-0162,2025-05,WHEAT,1,4,497
FPS-0516,2025-04,RICE,1,4,112
FPS-0516,2025-04,WHEAT,1,1,550
FPS-0516,2025-10,RICE,1,3,530
FPS-0516,2025-10,WHEAT,1,2,293
FPS-0236,2025-06,WHEAT,1,1,207
FPS-0081,2025-10,WHEAT,1,3,279
FPS-0339,2025-10,WHEAT,1,7,212
FPS-0339,2025-12,WHEAT,1,2,278
FPS-0339,2025-07,WHEAT,1,3,204
FPS-0310,2025-07,WHEAT,1,6,275
FPS-0317,2025-08,WHEAT,1,6,280
FPS-0121,2025-12,WHEAT,1,5,496
FPS-0121,2025-06,RICE,1,6,131
FPS-0121,2025-06,WHEAT,1,5,236
FPS-0416,2025-09,RICE,1,1,568
FPS-0084,2025-02,RICE,1,1,145
FPS-0084,2025-02,WHEAT,1,5,570
FPS-0084,2025-06,WHEAT,1,5,312
FPS-0538,2025-02,RICE,1,5,229
FPS-0174,2025-08,RICE,1,2,178
FPS-0174,2025-05,WHEAT,1,7,292
FPS-0097,2025-12,WHEAT,1,5,215
FPS-0097,2025-02,RICE,1,5,551
FPS-0479,2025-02,RICE,1,7,190
FPS-0155,2025-05,RICE,1,7,234
FPS-0155,2025-05,WHEAT,1,5,401
FPS-0155,2025-07,RICE,1,7,563
FPS-0085,2025-02,WHEAT,1,3,362
FPS-0085,2025-08,WHEAT,1,6,382
FPS-0085,2025-10,RICE,1,4,434
FPS-0361,2025-08,RICE,1,1,452
FPS-0361,2025-08,WHEAT,1,7,524
FPS-0361,2025-02,WHEAT,1,7,422
FPS-0361,2025-01,RICE,1,3,162
