date,district,rainfall_mm,temperature_c,weather_condition
2025-09-01,BENGALURU_URBAN,2.9,23.1,CLOUDY
2025-09-02,BENGALURU_URBAN,3.4,24.0,CLOUDY
2025-09-03,BENGALURU_URBAN,4.0,22.8,CLOUDY
2025-09-04,BENGALURU_URBAN,5.0,24.0,CLOUDY
2025-09-05,BENGALURU_URBAN,2.7,20.7,CLOUDY
2025-09-06,BENGALURU_URBAN,6.8,22.9,CLOUDY
2025-09-07,BENGALURU_URBAN,0.7,22.8,SUNNY
2025-09-08,BENGALURU_URBAN,0.6,22.5,SUNNY
2025-09-09,BENGALURU_URBAN,1.7,23.9,SUNNY
2025-09-10,BENGALURU_URBAN,1.3,23.9,SUNNY
2025-09-11,BENGALURU_URBAN,4.6,23.8,CLOUDY
2025-09-12,BENGALURU_URBAN,7.5,21.0,CLOUDY
2025-09-13,BENGALURU_URBAN,0.8,22.1,SUNNY
2025-09-14,BENGALURU_URBAN,3.4,22.4,CLOUDY
2025-09-15,BENGALURU_URBAN,2.7,20.2,CLOUDY
2025-09-16,BENGALURU_URBAN,3.5,24.1,CLOUDY
2025-09-17,BENGALURU_URBAN,0.1,20.9,SUNNY
2025-09-18,BENGALURU_URBAN,0.7,23.2,SUNNY
2025-09-19,BENGALURU_URBAN,0.3,20.3,SUNNY
2025-09-20,BENGALURU_URBAN,1.9,21.7,SUNNY
2025-09-21,BENGALURU_URBAN,0.7,22.4,SUNNY
2025-09-22,BENGALURU_URBAN,1.1,21.3,SUNNY
2025-09-23,BENGALURU_URBAN,3.6,23.8,CLOUDY
2025-09-24,BENGALURU_URBAN,2.7,23.1,CLOUDY
2025-09-25,BENGALURU_URBAN,5.6,23.6,CLOUDY
2025-09-26,BENGALURU_URBAN,2.0,22.3,CLOUDY
2025-09-27,BENGALURU_URBAN,1.0,20.4,SUNNY
2025-09-28,BENGALURU_URBAN,0.5,21.2,SUNNY
2025-09-29,BENGALURU_URBAN,0.0,20.4,SUNNY
2025-09-30,BENGALURU_URBAN,7.1,22.0,CLOUDY
